seed	case	label	best_epoch	protected_unit_count	protected_param_count	protected_param_ratio	protected_gamma_count	protected_gamma_param_count	dropped_gamma_group	protection_mask_sha256	surrogate_acc	fidelity	posterior_kl	matched_soft_blackbox_accuracy	matched_soft_blackbox_fidelity	matched_soft_blackbox_posterior_kl
43	no_gamma	No gamma	96	7	641124	0.05710141922575832	0	0	stem,block_bn1,block_bn2,downsample	f5f5222c876b055df2163e8eab197284c21a7d7697956dafa0d3ee4ff2344247	0.1862	0.2008	2.6405512042999266	0.1536	0.1555	3.0075808403015136
43	all_gamma	All 20 gamma	49	27	645924	0.05752892905581248	20	4800		6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.114	0.1226	3.2003326099395752	0.1536	0.1555	3.0075808403015136
43	drop_stem	All - Stem	36	26	645860	0.05752322892474509	19	4736	stem	5d13277fcbf5504c9e5048fbed6df3c42953fd4c6aaebb3c7b47acf1dc889621	0.1172	0.1264	3.117191563415527	0.1536	0.1555	3.0075808403015136
43	drop_block_bn1	All - Block BN1	89	19	644004	0.057357925123790815	12	2880	block_bn1	93371371a8885d829ed5662cde29f3020b072706b2c798d1e19d4dcc7a164160	0.1113	0.1206	3.19099252243042	0.1536	0.1555	3.0075808403015136
43	drop_block_bn2	All - Block BN2	97	19	644004	0.057357925123790815	12	2880	block_bn2	73e7e9786c172630f3447f87ed8a4796d9e540796e68868c4f7f736da00878bb	0.1335	0.1431	2.9887865650177003	0.1536	0.1555	3.0075808403015136
43	drop_downsample	All - Downsample	93	24	645028	0.057449127220869034	17	3904	downsample	fa5e7425fedf34fedb9c06aa5bb3adfe925353ddb5060473e37839941ac1060b	0.1419	0.1468	2.957857196044922	0.1536	0.1555	3.0075808403015136
44	no_gamma	No gamma	99	7	641124	0.05710141922575832	0	0	stem,block_bn1,block_bn2,downsample	f5f5222c876b055df2163e8eab197284c21a7d7697956dafa0d3ee4ff2344247	0.1915	0.2053	2.5773137401580812	0.15	0.1551	2.955327938461304
44	all_gamma	All 20 gamma	45	27	645924	0.05752892905581248	20	4800		6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1109	0.1234	3.159061231613159	0.15	0.1551	2.955327938461304
44	drop_stem	All - Stem	45	26	645860	0.05752322892474509	19	4736	stem	5d13277fcbf5504c9e5048fbed6df3c42953fd4c6aaebb3c7b47acf1dc889621	0.1352	0.1466	2.9789140495300295	0.15	0.1551	2.955327938461304
44	drop_block_bn1	All - Block BN1	87	19	644004	0.057357925123790815	12	2880	block_bn1	93371371a8885d829ed5662cde29f3020b072706b2c798d1e19d4dcc7a164160	0.11	0.1201	3.147287640762329	0.15	0.1551	2.955327938461304
44	drop_block_bn2	All - Block BN2	67	19	644004	0.057357925123790815	12	2880	block_bn2	73e7e9786c172630f3447f87ed8a4796d9e540796e68868c4f7f736da00878bb	0.1411	0.1554	2.9291998111724853	0.15	0.1551	2.955327938461304
44	drop_downsample	All - Downsample	53	24	645028	0.057449127220869034	17	3904	downsample	fa5e7425fedf34fedb9c06aa5bb3adfe925353ddb5060473e37839941ac1060b	0.1432	0.1536	2.8968202743530274	0.15	0.1551	2.955327938461304
45	no_gamma	No gamma	88	7	641124	0.05710141922575832	0	0	stem,block_bn1,block_bn2,downsample	f5f5222c876b055df2163e8eab197284c21a7d7697956dafa0d3ee4ff2344247	0.1723	0.1857	2.6507207817077636	0.1518	0.1617	2.9247035690307617
45	all_gamma	All 20 gamma	25	27	645924	0.05752892905581248	20	4800		6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1077	0.1129	3.23072205657959	0.1518	0.1617	2.9247035690307617
45	drop_stem	All - Stem	47	26	645860	0.05752322892474509	19	4736	stem	5d13277fcbf5504c9e5048fbed6df3c42953fd4c6aaebb3c7b47acf1dc889621	0.1185	0.1246	3.104526583480835	0.1518	0.1617	2.9247035690307617
45	drop_block_bn1	All - Block BN1	57	19	644004	0.057357925123790815	12	2880	block_bn1	93371371a8885d829ed5662cde29f3020b072706b2c798d1e19d4dcc7a164160	0.1005	0.1052	3.2392060707092285	0.1518	0.1617	2.9247035690307617
45	drop_block_bn2	All - Block BN2	90	19	644004	0.057357925123790815	12	2880	block_bn2	73e7e9786c172630f3447f87ed8a4796d9e540796e68868c4f7f736da00878bb	0.1338	0.1391	2.963311897277832	0.1518	0.1617	2.9247035690307617
45	drop_downsample	All - Downsample	88	24	645028	0.057449127220869034	17	3904	downsample	fa5e7425fedf34fedb9c06aa5bb3adfe925353ddb5060473e37839941ac1060b	0.1357	0.1426	2.957336328125	0.1518	0.1617	2.9247035690307617
46	no_gamma	No gamma	96	7	641124	0.05710141922575832	0	0	stem,block_bn1,block_bn2,downsample	f5f5222c876b055df2163e8eab197284c21a7d7697956dafa0d3ee4ff2344247	0.1776	0.1978	2.6214199954986572	0.1524	0.157	2.9586137844085694
46	all_gamma	All 20 gamma	100	27	645924	0.05752892905581248	20	4800		6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1093	0.1196	3.172499655151367	0.1524	0.157	2.9586137844085694
46	drop_stem	All - Stem	96	26	645860	0.05752322892474509	19	4736	stem	5d13277fcbf5504c9e5048fbed6df3c42953fd4c6aaebb3c7b47acf1dc889621	0.1335	0.1426	3.0202742233276365	0.1524	0.157	2.9586137844085694
46	drop_block_bn1	All - Block BN1	92	19	644004	0.057357925123790815	12	2880	block_bn1	93371371a8885d829ed5662cde29f3020b072706b2c798d1e19d4dcc7a164160	0.1121	0.1208	3.1759179485321045	0.1524	0.157	2.9586137844085694
46	drop_block_bn2	All - Block BN2	79	19	644004	0.057357925123790815	12	2880	block_bn2	73e7e9786c172630f3447f87ed8a4796d9e540796e68868c4f7f736da00878bb	0.1322	0.1459	2.95537036819458	0.1524	0.157	2.9586137844085694
46	drop_downsample	All - Downsample	78	24	645028	0.057449127220869034	17	3904	downsample	fa5e7425fedf34fedb9c06aa5bb3adfe925353ddb5060473e37839941ac1060b	0.1336	0.1433	2.9830344593048097	0.1524	0.157	2.9586137844085694
47	no_gamma	No gamma	98	7	641124	0.05710141922575832	0	0	stem,block_bn1,block_bn2,downsample	f5f5222c876b055df2163e8eab197284c21a7d7697956dafa0d3ee4ff2344247	0.1899	0.2071	2.5695349250793456	0.15	0.157	2.9716312255859374
47	all_gamma	All 20 gamma	88	27	645924	0.05752892905581248	20	4800		6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1164	0.1238	3.1314981315612793	0.15	0.157	2.9716312255859374
47	drop_stem	All - Stem	41	26	645860	0.05752322892474509	19	4736	stem	5d13277fcbf5504c9e5048fbed6df3c42953fd4c6aaebb3c7b47acf1dc889621	0.1284	0.1395	3.046773637008667	0.15	0.157	2.9716312255859374
47	drop_block_bn1	All - Block BN1	99	19	644004	0.057357925123790815	12	2880	block_bn1	93371371a8885d829ed5662cde29f3020b072706b2c798d1e19d4dcc7a164160	0.1075	0.116	3.20230481338501	0.15	0.157	2.9716312255859374
47	drop_block_bn2	All - Block BN2	93	19	644004	0.057357925123790815	12	2880	block_bn2	73e7e9786c172630f3447f87ed8a4796d9e540796e68868c4f7f736da00878bb	0.1334	0.1417	2.982578393936157	0.15	0.157	2.9716312255859374
47	drop_downsample	All - Downsample	45	24	645028	0.057449127220869034	17	3904	downsample	fa5e7425fedf34fedb9c06aa5bb3adfe925353ddb5060473e37839941ac1060b	0.1285	0.142	3.0147397655487063	0.15	0.157	2.9716312255859374
48	no_gamma	No gamma	97	7	641124	0.05710141922575832	0	0	stem,block_bn1,block_bn2,downsample	f5f5222c876b055df2163e8eab197284c21a7d7697956dafa0d3ee4ff2344247	0.1825	0.199	2.5961345169067385	0.1332	0.1408	3.1477268814086914
48	all_gamma	All 20 gamma	83	27	645924	0.05752892905581248	20	4800		6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1135	0.1211	3.1766055503845214	0.1332	0.1408	3.1477268814086914
48	drop_stem	All - Stem	98	26	645860	0.05752322892474509	19	4736	stem	5d13277fcbf5504c9e5048fbed6df3c42953fd4c6aaebb3c7b47acf1dc889621	0.1339	0.1439	2.9706307441711424	0.1332	0.1408	3.1477268814086914
48	drop_block_bn1	All - Block BN1	36	19	644004	0.057357925123790815	12	2880	block_bn1	93371371a8885d829ed5662cde29f3020b072706b2c798d1e19d4dcc7a164160	0.1047	0.1113	3.2366859542846678	0.1332	0.1408	3.1477268814086914
48	drop_block_bn2	All - Block BN2	88	19	644004	0.057357925123790815	12	2880	block_bn2	73e7e9786c172630f3447f87ed8a4796d9e540796e68868c4f7f736da00878bb	0.1415	0.1514	2.92187225189209	0.1332	0.1408	3.1477268814086914
48	drop_downsample	All - Downsample	45	24	645028	0.057449127220869034	17	3904	downsample	fa5e7425fedf34fedb9c06aa5bb3adfe925353ddb5060473e37839941ac1060b	0.1293	0.1443	2.9599880527496336	0.1332	0.1408	3.1477268814086914
49	no_gamma	No gamma	82	7	641124	0.05710141922575832	0	0	stem,block_bn1,block_bn2,downsample	f5f5222c876b055df2163e8eab197284c21a7d7697956dafa0d3ee4ff2344247	0.1786	0.1926	2.6130197616577147	0.145	0.1559	2.937340302276611
49	all_gamma	All 20 gamma	44	27	645924	0.05752892905581248	20	4800		6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1041	0.1154	3.2605746044158934	0.145	0.1559	2.937340302276611
49	drop_stem	All - Stem	85	26	645860	0.05752322892474509	19	4736	stem	5d13277fcbf5504c9e5048fbed6df3c42953fd4c6aaebb3c7b47acf1dc889621	0.1246	0.1392	3.0223382087707518	0.145	0.1559	2.937340302276611
49	drop_block_bn1	All - Block BN1	48	19	644004	0.057357925123790815	12	2880	block_bn1	93371371a8885d829ed5662cde29f3020b072706b2c798d1e19d4dcc7a164160	0.102	0.1097	3.285927222061157	0.145	0.1559	2.937340302276611
49	drop_block_bn2	All - Block BN2	93	19	644004	0.057357925123790815	12	2880	block_bn2	73e7e9786c172630f3447f87ed8a4796d9e540796e68868c4f7f736da00878bb	0.1295	0.1387	2.968848776626587	0.145	0.1559	2.937340302276611
49	drop_downsample	All - Downsample	64	24	645028	0.057449127220869034	17	3904	downsample	fa5e7425fedf34fedb9c06aa5bb3adfe925353ddb5060473e37839941ac1060b	0.1347	0.1439	2.9413401733398437	0.145	0.1559	2.937340302276611
50	no_gamma	No gamma	96	7	641124	0.05710141922575832	0	0	stem,block_bn1,block_bn2,downsample	f5f5222c876b055df2163e8eab197284c21a7d7697956dafa0d3ee4ff2344247	0.1865	0.201	2.6384247459411623	0.1425	0.1501	3.0149650390625
50	all_gamma	All 20 gamma	100	27	645924	0.05752892905581248	20	4800		6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1152	0.1205	3.158194119644165	0.1425	0.1501	3.0149650390625
50	drop_stem	All - Stem	83	26	645860	0.05752322892474509	19	4736	stem	5d13277fcbf5504c9e5048fbed6df3c42953fd4c6aaebb3c7b47acf1dc889621	0.1249	0.1368	3.0680185287475585	0.1425	0.1501	3.0149650390625
50	drop_block_bn1	All - Block BN1	92	19	644004	0.057357925123790815	12	2880	block_bn1	93371371a8885d829ed5662cde29f3020b072706b2c798d1e19d4dcc7a164160	0.1025	0.1137	3.23731354637146	0.1425	0.1501	3.0149650390625
50	drop_block_bn2	All - Block BN2	99	19	644004	0.057357925123790815	12	2880	block_bn2	73e7e9786c172630f3447f87ed8a4796d9e540796e68868c4f7f736da00878bb	0.129	0.1385	2.9862718418121337	0.1425	0.1501	3.0149650390625
50	drop_downsample	All - Downsample	41	24	645028	0.057449127220869034	17	3904	downsample	fa5e7425fedf34fedb9c06aa5bb3adfe925353ddb5060473e37839941ac1060b	0.1304	0.1399	3.021459990310669	0.1425	0.1501	3.0149650390625
51	no_gamma	No gamma	89	7	641124	0.05710141922575832	0	0	stem,block_bn1,block_bn2,downsample	f5f5222c876b055df2163e8eab197284c21a7d7697956dafa0d3ee4ff2344247	0.1796	0.191	2.6270417434692384	0.1483	0.1526	2.9577788276672363
51	all_gamma	All 20 gamma	83	27	645924	0.05752892905581248	20	4800		6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1202	0.1309	3.0769005107879637	0.1483	0.1526	2.9577788276672363
51	drop_stem	All - Stem	44	26	645860	0.05752322892474509	19	4736	stem	5d13277fcbf5504c9e5048fbed6df3c42953fd4c6aaebb3c7b47acf1dc889621	0.1156	0.1223	3.133651446914673	0.1483	0.1526	2.9577788276672363
51	drop_block_bn1	All - Block BN1	97	19	644004	0.057357925123790815	12	2880	block_bn1	93371371a8885d829ed5662cde29f3020b072706b2c798d1e19d4dcc7a164160	0.1034	0.1111	3.1762242897033692	0.1483	0.1526	2.9577788276672363
51	drop_block_bn2	All - Block BN2	93	19	644004	0.057357925123790815	12	2880	block_bn2	73e7e9786c172630f3447f87ed8a4796d9e540796e68868c4f7f736da00878bb	0.1311	0.1409	2.973179760360718	0.1483	0.1526	2.9577788276672363
51	drop_downsample	All - Downsample	74	24	645028	0.057449127220869034	17	3904	downsample	fa5e7425fedf34fedb9c06aa5bb3adfe925353ddb5060473e37839941ac1060b	0.1315	0.1419	2.9587027618408204	0.1483	0.1526	2.9577788276672363
52	no_gamma	No gamma	93	7	641124	0.05710141922575832	0	0	stem,block_bn1,block_bn2,downsample	f5f5222c876b055df2163e8eab197284c21a7d7697956dafa0d3ee4ff2344247	0.1802	0.1977	2.644200328063965	0.1507	0.1564	2.9742168075561524
52	all_gamma	All 20 gamma	93	27	645924	0.05752892905581248	20	4800		6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1146	0.1239	3.160564589691162	0.1507	0.1564	2.9742168075561524
52	drop_stem	All - Stem	82	26	645860	0.05752322892474509	19	4736	stem	5d13277fcbf5504c9e5048fbed6df3c42953fd4c6aaebb3c7b47acf1dc889621	0.1249	0.1357	3.0888112770080567	0.1507	0.1564	2.9742168075561524
52	drop_block_bn1	All - Block BN1	57	19	644004	0.057357925123790815	12	2880	block_bn1	93371371a8885d829ed5662cde29f3020b072706b2c798d1e19d4dcc7a164160	0.1114	0.119	3.2316256851196288	0.1507	0.1564	2.9742168075561524
52	drop_block_bn2	All - Block BN2	93	19	644004	0.057357925123790815	12	2880	block_bn2	73e7e9786c172630f3447f87ed8a4796d9e540796e68868c4f7f736da00878bb	0.1433	0.1506	2.9583609157562254	0.1507	0.1564	2.9742168075561524
52	drop_downsample	All - Downsample	89	24	645028	0.057449127220869034	17	3904	downsample	fa5e7425fedf34fedb9c06aa5bb3adfe925353ddb5060473e37839941ac1060b	0.1395	0.1532	2.9418095596313476	0.1507	0.1564	2.9742168075561524
