seed	case	label	exposed_rank	exposed_unit	exposed_state	best_epoch	protected_unit_count	protected_param_count	protected_param_ratio	protection_mask_sha256	surrogate_acc	fidelity	posterior_kl	accuracy_minus_base	fidelity_minus_base	posterior_kl_minus_base	all_metrics_attack_rebound_vs_base	matched_blackbox_accuracy	matched_blackbox_fidelity	matched_blackbox_posterior_kl	all_metrics_at_or_beyond_blackbox
43	five_conv1_bn_gamma_head	Protect all five conv1				49	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.114	0.1226	3.2003326099395752	0.0	0.0	0.0	False	0.1536	0.1555	3.0075808403015136	True
43	expose_rank_01	Expose rank-1	1	18	layer1.1.conv1.weight	49	26	609060	0.054245653560996566	85f41ddf8020493bcd84ac64929e91041f221c2d90db1afef22b3967b4cc12e8	0.1182	0.1275	3.1159673793792724	0.004199999999999995	0.004900000000000002	-0.08436523056030287	True	0.1536	0.1555	3.0075808403015136	True
43	expose_rank_02	Expose rank-2	2	30	layer2.0.conv1.weight	53	26	572196	0.05096237806618066	ba11200f0f2c226157efd07441266507258de2e734835bd23b837de632622b91	0.1347	0.1456	3.0165448959350587	0.020699999999999982	0.023000000000000007	-0.18378771400451654	True	0.1536	0.1555	3.0075808403015136	True
43	expose_rank_04	Expose rank-4	4	6	layer1.0.conv1.weight	53	26	609060	0.054245653560996566	6fa97b56d7d520627459a919a835e677beeb549f597482c25e5a270ad2e132ee	0.1202	0.127	3.090343549346924	0.006199999999999997	0.004400000000000001	-0.10998906059265146	True	0.1536	0.1555	3.0075808403015136	True
43	expose_rank_07	Expose rank-7	7	48	layer2.1.conv1.weight	50	26	498468	0.04439582707654884	48e2ee512e63ec0d2047a4af1c9ecf632366d8c73a56c2c689da54e765cca9af	0.1195	0.1236	3.118120210266113	0.005499999999999991	0.0010000000000000009	-0.08221239967346206	True	0.1536	0.1555	3.0075808403015136	True
43	expose_rank_09	Expose rank-9	9	60	layer3.0.conv1.weight	96	26	351012	0.031262725097285206	4210f58d92e46b22e7ee2471fdf9026be06a9e1013b7220f88d6d159c3da191a	0.1551	0.1688	2.8087427894592287	0.041099999999999984	0.046200000000000005	-0.3915898204803465	True	0.1536	0.1555	3.0075808403015136	False
44	five_conv1_bn_gamma_head	Protect all five conv1				45	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1109	0.1234	3.159061231613159	0.0	0.0	0.0	False	0.15	0.1551	2.955327938461304	True
44	expose_rank_01	Expose rank-1	1	18	layer1.1.conv1.weight	45	26	609060	0.054245653560996566	85f41ddf8020493bcd84ac64929e91041f221c2d90db1afef22b3967b4cc12e8	0.1215	0.1305	3.0974932327270506	0.010599999999999998	0.007100000000000009	-0.061567998886108644	True	0.15	0.1551	2.955327938461304	True
44	expose_rank_02	Expose rank-2	2	30	layer2.0.conv1.weight	97	26	572196	0.05096237806618066	ba11200f0f2c226157efd07441266507258de2e734835bd23b837de632622b91	0.1551	0.1677	2.8516644329071044	0.04419999999999999	0.04429999999999999	-0.30739679870605485	True	0.15	0.1551	2.955327938461304	False
44	expose_rank_04	Expose rank-4	4	6	layer1.0.conv1.weight	45	26	609060	0.054245653560996566	6fa97b56d7d520627459a919a835e677beeb549f597482c25e5a270ad2e132ee	0.1241	0.1352	3.044318956756592	0.013200000000000003	0.011799999999999991	-0.1147422748565674	True	0.15	0.1551	2.955327938461304	True
44	expose_rank_07	Expose rank-7	7	48	layer2.1.conv1.weight	99	26	498468	0.04439582707654884	48e2ee512e63ec0d2047a4af1c9ecf632366d8c73a56c2c689da54e765cca9af	0.1322	0.1403	2.98859044380188	0.021300000000000013	0.016900000000000012	-0.17047078781127922	True	0.15	0.1551	2.955327938461304	True
44	expose_rank_09	Expose rank-9	9	60	layer3.0.conv1.weight	100	26	351012	0.031262725097285206	4210f58d92e46b22e7ee2471fdf9026be06a9e1013b7220f88d6d159c3da191a	0.1583	0.1721	2.772017297363281	0.0474	0.04870000000000001	-0.38704393424987815	True	0.15	0.1551	2.955327938461304	False
45	five_conv1_bn_gamma_head	Protect all five conv1				25	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1077	0.1129	3.23072205657959	0.0	0.0	0.0	False	0.1518	0.1617	2.9247035690307617	True
45	expose_rank_01	Expose rank-1	1	18	layer1.1.conv1.weight	89	26	609060	0.054245653560996566	85f41ddf8020493bcd84ac64929e91041f221c2d90db1afef22b3967b4cc12e8	0.1126	0.1155	3.1526085639953614	0.004900000000000002	0.002600000000000005	-0.07811349258422862	True	0.1518	0.1617	2.9247035690307617	True
45	expose_rank_02	Expose rank-2	2	30	layer2.0.conv1.weight	98	26	572196	0.05096237806618066	ba11200f0f2c226157efd07441266507258de2e734835bd23b837de632622b91	0.14	0.1504	2.946705403137207	0.03230000000000001	0.037500000000000006	-0.28401665344238314	True	0.1518	0.1617	2.9247035690307617	True
45	expose_rank_04	Expose rank-4	4	6	layer1.0.conv1.weight	55	26	609060	0.054245653560996566	6fa97b56d7d520627459a919a835e677beeb549f597482c25e5a270ad2e132ee	0.115	0.1212	3.1651950801849367	0.007300000000000001	0.008300000000000002	-0.06552697639465332	True	0.1518	0.1617	2.9247035690307617	True
45	expose_rank_07	Expose rank-7	7	48	layer2.1.conv1.weight	88	26	498468	0.04439582707654884	48e2ee512e63ec0d2047a4af1c9ecf632366d8c73a56c2c689da54e765cca9af	0.1225	0.1291	3.037802103424072	0.014799999999999994	0.016199999999999992	-0.1929199531555179	True	0.1518	0.1617	2.9247035690307617	True
45	expose_rank_09	Expose rank-9	9	60	layer3.0.conv1.weight	93	26	351012	0.031262725097285206	4210f58d92e46b22e7ee2471fdf9026be06a9e1013b7220f88d6d159c3da191a	0.1495	0.1577	2.876069858932495	0.04179999999999999	0.044800000000000006	-0.3546521976470949	True	0.1518	0.1617	2.9247035690307617	False
46	five_conv1_bn_gamma_head	Protect all five conv1				100	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1093	0.1196	3.172499655151367	0.0	0.0	0.0	False	0.1524	0.157	2.9586137844085694	True
46	expose_rank_01	Expose rank-1	1	18	layer1.1.conv1.weight	75	26	609060	0.054245653560996566	85f41ddf8020493bcd84ac64929e91041f221c2d90db1afef22b3967b4cc12e8	0.1199	0.1293	3.0868747093200684	0.010600000000000012	0.0097	-0.08562494583129876	True	0.1524	0.157	2.9586137844085694	True
46	expose_rank_02	Expose rank-2	2	30	layer2.0.conv1.weight	54	26	572196	0.05096237806618066	ba11200f0f2c226157efd07441266507258de2e734835bd23b837de632622b91	0.1459	0.1565	2.9076089923858643	0.03660000000000001	0.0369	-0.26489066276550277	True	0.1524	0.157	2.9586137844085694	False
46	expose_rank_04	Expose rank-4	4	6	layer1.0.conv1.weight	79	26	609060	0.054245653560996566	6fa97b56d7d520627459a919a835e677beeb549f597482c25e5a270ad2e132ee	0.1297	0.1363	3.047306189727783	0.020400000000000015	0.016700000000000007	-0.125193465423584	True	0.1524	0.157	2.9586137844085694	True
46	expose_rank_07	Expose rank-7	7	48	layer2.1.conv1.weight	96	26	498468	0.04439582707654884	48e2ee512e63ec0d2047a4af1c9ecf632366d8c73a56c2c689da54e765cca9af	0.1212	0.1323	3.1067617614746093	0.011900000000000008	0.012700000000000003	-0.06573789367675786	True	0.1524	0.157	2.9586137844085694	True
46	expose_rank_09	Expose rank-9	9	60	layer3.0.conv1.weight	92	26	351012	0.031262725097285206	4210f58d92e46b22e7ee2471fdf9026be06a9e1013b7220f88d6d159c3da191a	0.1488	0.1646	2.8448356468200684	0.03949999999999999	0.045	-0.3276640083312987	True	0.1524	0.157	2.9586137844085694	False
47	five_conv1_bn_gamma_head	Protect all five conv1				88	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1164	0.1238	3.1314981315612793	0.0	0.0	0.0	False	0.15	0.157	2.9716312255859374	True
47	expose_rank_01	Expose rank-1	1	18	layer1.1.conv1.weight	72	26	609060	0.054245653560996566	85f41ddf8020493bcd84ac64929e91041f221c2d90db1afef22b3967b4cc12e8	0.1229	0.1279	3.1208743717193603	0.006499999999999992	0.00410000000000002	-0.01062375984191899	True	0.15	0.157	2.9716312255859374	True
47	expose_rank_02	Expose rank-2	2	30	layer2.0.conv1.weight	98	26	572196	0.05096237806618066	ba11200f0f2c226157efd07441266507258de2e734835bd23b837de632622b91	0.1447	0.1545	2.9562527641296388	0.028299999999999992	0.030700000000000005	-0.17524536743164054	True	0.15	0.157	2.9716312255859374	False
47	expose_rank_04	Expose rank-4	4	6	layer1.0.conv1.weight	98	26	609060	0.054245653560996566	6fa97b56d7d520627459a919a835e677beeb549f597482c25e5a270ad2e132ee	0.1289	0.1346	3.0721839706420897	0.012499999999999983	0.010800000000000004	-0.05931416091918962	True	0.15	0.157	2.9716312255859374	True
47	expose_rank_07	Expose rank-7	7	48	layer2.1.conv1.weight	37	26	498468	0.04439582707654884	48e2ee512e63ec0d2047a4af1c9ecf632366d8c73a56c2c689da54e765cca9af	0.1263	0.1366	3.1071226196289063	0.009899999999999992	0.012800000000000006	-0.024375511932372973	True	0.15	0.157	2.9716312255859374	True
47	expose_rank_09	Expose rank-9	9	60	layer3.0.conv1.weight	100	26	351012	0.031262725097285206	4210f58d92e46b22e7ee2471fdf9026be06a9e1013b7220f88d6d159c3da191a	0.1472	0.1615	2.863567621231079	0.030799999999999994	0.03770000000000001	-0.2679305103302001	True	0.15	0.157	2.9716312255859374	False
48	five_conv1_bn_gamma_head	Protect all five conv1				83	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1135	0.1211	3.1766055503845214	0.0	0.0	0.0	False	0.1332	0.1408	3.1477268814086914	True
48	expose_rank_01	Expose rank-1	1	18	layer1.1.conv1.weight	43	26	609060	0.054245653560996566	85f41ddf8020493bcd84ac64929e91041f221c2d90db1afef22b3967b4cc12e8	0.1231	0.1342	3.091402936935425	0.009599999999999997	0.013100000000000014	-0.08520261344909663	True	0.1332	0.1408	3.1477268814086914	False
48	expose_rank_02	Expose rank-2	2	30	layer2.0.conv1.weight	30	26	572196	0.05096237806618066	ba11200f0f2c226157efd07441266507258de2e734835bd23b837de632622b91	0.1394	0.1472	3.003582876586914	0.025899999999999992	0.026099999999999998	-0.1730226737976075	True	0.1332	0.1408	3.1477268814086914	False
48	expose_rank_04	Expose rank-4	4	6	layer1.0.conv1.weight	39	26	609060	0.054245653560996566	6fa97b56d7d520627459a919a835e677beeb549f597482c25e5a270ad2e132ee	0.1213	0.1306	3.058301142883301	0.007800000000000001	0.009499999999999995	-0.11830440750122051	True	0.1332	0.1408	3.1477268814086914	False
48	expose_rank_07	Expose rank-7	7	48	layer2.1.conv1.weight	94	26	498468	0.04439582707654884	48e2ee512e63ec0d2047a4af1c9ecf632366d8c73a56c2c689da54e765cca9af	0.1264	0.1377	3.006243908691406	0.012900000000000009	0.01659999999999999	-0.1703616416931153	True	0.1332	0.1408	3.1477268814086914	False
48	expose_rank_09	Expose rank-9	9	60	layer3.0.conv1.weight	88	26	351012	0.031262725097285206	4210f58d92e46b22e7ee2471fdf9026be06a9e1013b7220f88d6d159c3da191a	0.1564	0.1687	2.770582452011108	0.04290000000000001	0.04759999999999999	-0.4060230983734132	True	0.1332	0.1408	3.1477268814086914	False
49	five_conv1_bn_gamma_head	Protect all five conv1				44	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1041	0.1154	3.2605746044158934	0.0	0.0	0.0	False	0.145	0.1559	2.937340302276611	True
49	expose_rank_01	Expose rank-1	1	18	layer1.1.conv1.weight	95	26	609060	0.054245653560996566	85f41ddf8020493bcd84ac64929e91041f221c2d90db1afef22b3967b4cc12e8	0.1162	0.1266	3.1070898189544676	0.0121	0.011199999999999988	-0.15348478546142585	True	0.145	0.1559	2.937340302276611	True
49	expose_rank_02	Expose rank-2	2	30	layer2.0.conv1.weight	85	26	572196	0.05096237806618066	ba11200f0f2c226157efd07441266507258de2e734835bd23b837de632622b91	0.139	0.1512	2.9505865829467774	0.034900000000000014	0.0358	-0.30998802146911597	True	0.145	0.1559	2.937340302276611	True
49	expose_rank_04	Expose rank-4	4	6	layer1.0.conv1.weight	44	26	609060	0.054245653560996566	6fa97b56d7d520627459a919a835e677beeb549f597482c25e5a270ad2e132ee	0.1193	0.1282	3.1620856620788573	0.015200000000000005	0.012800000000000006	-0.09848894233703609	True	0.145	0.1559	2.937340302276611	True
49	expose_rank_07	Expose rank-7	7	48	layer2.1.conv1.weight	81	26	498468	0.04439582707654884	48e2ee512e63ec0d2047a4af1c9ecf632366d8c73a56c2c689da54e765cca9af	0.1251	0.133	3.054750248718262	0.02099999999999999	0.017600000000000005	-0.20582435569763158	True	0.145	0.1559	2.937340302276611	True
49	expose_rank_09	Expose rank-9	9	60	layer3.0.conv1.weight	99	26	351012	0.031262725097285206	4210f58d92e46b22e7ee2471fdf9026be06a9e1013b7220f88d6d159c3da191a	0.1419	0.1577	2.835123318862915	0.0378	0.042300000000000004	-0.4254512855529784	True	0.145	0.1559	2.937340302276611	False
50	five_conv1_bn_gamma_head	Protect all five conv1				100	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1152	0.1205	3.158194119644165	0.0	0.0	0.0	False	0.1425	0.1501	3.0149650390625	True
50	expose_rank_01	Expose rank-1	1	18	layer1.1.conv1.weight	39	26	609060	0.054245653560996566	85f41ddf8020493bcd84ac64929e91041f221c2d90db1afef22b3967b4cc12e8	0.1132	0.1233	3.1747021034240723	-0.0020000000000000018	0.002800000000000011	0.016507983779907143	False	0.1425	0.1501	3.0149650390625	True
50	expose_rank_02	Expose rank-2	2	30	layer2.0.conv1.weight	83	26	572196	0.05096237806618066	ba11200f0f2c226157efd07441266507258de2e734835bd23b837de632622b91	0.1398	0.1492	2.9468035690307617	0.02460000000000001	0.028700000000000003	-0.2113905506134035	True	0.1425	0.1501	3.0149650390625	False
50	expose_rank_04	Expose rank-4	4	6	layer1.0.conv1.weight	100	26	609060	0.054245653560996566	6fa97b56d7d520627459a919a835e677beeb549f597482c25e5a270ad2e132ee	0.119	0.1279	3.0940976444244384	0.003799999999999998	0.007400000000000018	-0.06409647521972683	True	0.1425	0.1501	3.0149650390625	True
50	expose_rank_07	Expose rank-7	7	48	layer2.1.conv1.weight	85	26	498468	0.04439582707654884	48e2ee512e63ec0d2047a4af1c9ecf632366d8c73a56c2c689da54e765cca9af	0.1264	0.1339	3.0781792839050293	0.011200000000000015	0.013399999999999995	-0.08001483573913593	True	0.1425	0.1501	3.0149650390625	True
50	expose_rank_09	Expose rank-9	9	60	layer3.0.conv1.weight	100	26	351012	0.031262725097285206	4210f58d92e46b22e7ee2471fdf9026be06a9e1013b7220f88d6d159c3da191a	0.1459	0.1564	2.893534031677246	0.030700000000000005	0.035900000000000015	-0.2646600879669192	True	0.1425	0.1501	3.0149650390625	False
51	five_conv1_bn_gamma_head	Protect all five conv1				83	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1202	0.1309	3.0769005107879637	0.0	0.0	0.0	False	0.1483	0.1526	2.9577788276672363	True
51	expose_rank_01	Expose rank-1	1	18	layer1.1.conv1.weight	94	26	609060	0.054245653560996566	85f41ddf8020493bcd84ac64929e91041f221c2d90db1afef22b3967b4cc12e8	0.1166	0.128	3.0785041664123534	-0.003600000000000006	-0.002899999999999986	0.0016036556243896882	False	0.1483	0.1526	2.9577788276672363	True
51	expose_rank_02	Expose rank-2	2	30	layer2.0.conv1.weight	89	26	572196	0.05096237806618066	ba11200f0f2c226157efd07441266507258de2e734835bd23b837de632622b91	0.1495	0.1603	2.9109445384979247	0.029299999999999993	0.02940000000000001	-0.165955972290039	True	0.1483	0.1526	2.9577788276672363	False
51	expose_rank_04	Expose rank-4	4	6	layer1.0.conv1.weight	89	26	609060	0.054245653560996566	6fa97b56d7d520627459a919a835e677beeb549f597482c25e5a270ad2e132ee	0.1293	0.1433	3.008326756286621	0.009099999999999997	0.012400000000000022	-0.06857375450134251	True	0.1483	0.1526	2.9577788276672363	True
51	expose_rank_07	Expose rank-7	7	48	layer2.1.conv1.weight	90	26	498468	0.04439582707654884	48e2ee512e63ec0d2047a4af1c9ecf632366d8c73a56c2c689da54e765cca9af	0.127	0.1348	3.0146417098999025	0.0068000000000000005	0.0039000000000000146	-0.06225880088806113	True	0.1483	0.1526	2.9577788276672363	True
51	expose_rank_09	Expose rank-9	9	60	layer3.0.conv1.weight	95	26	351012	0.031262725097285206	4210f58d92e46b22e7ee2471fdf9026be06a9e1013b7220f88d6d159c3da191a	0.143	0.157	2.8339761207580567	0.022799999999999987	0.026100000000000012	-0.24292439002990696	True	0.1483	0.1526	2.9577788276672363	False
52	five_conv1_bn_gamma_head	Protect all five conv1				93	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1146	0.1239	3.160564589691162	0.0	0.0	0.0	False	0.1507	0.1564	2.9742168075561524	True
52	expose_rank_01	Expose rank-1	1	18	layer1.1.conv1.weight	100	26	609060	0.054245653560996566	85f41ddf8020493bcd84ac64929e91041f221c2d90db1afef22b3967b4cc12e8	0.1206	0.1283	3.112851372528076	0.006000000000000005	0.004400000000000001	-0.047713217163086075	True	0.1507	0.1564	2.9742168075561524	True
52	expose_rank_02	Expose rank-2	2	30	layer2.0.conv1.weight	75	26	572196	0.05096237806618066	ba11200f0f2c226157efd07441266507258de2e734835bd23b837de632622b91	0.1347	0.1434	3.0211602149963377	0.020099999999999993	0.019500000000000003	-0.13940437469482436	True	0.1507	0.1564	2.9742168075561524	True
52	expose_rank_04	Expose rank-4	4	6	layer1.0.conv1.weight	35	26	609060	0.054245653560996566	6fa97b56d7d520627459a919a835e677beeb549f597482c25e5a270ad2e132ee	0.1134	0.1202	3.187655681228638	-0.0011999999999999927	-0.003699999999999995	0.027091091537475798	False	0.1507	0.1564	2.9742168075561524	True
52	expose_rank_07	Expose rank-7	7	48	layer2.1.conv1.weight	89	26	498468	0.04439582707654884	48e2ee512e63ec0d2047a4af1c9ecf632366d8c73a56c2c689da54e765cca9af	0.1297	0.1404	3.03783776512146	0.015100000000000016	0.0165	-0.12272682456970196	True	0.1507	0.1564	2.9742168075561524	True
52	expose_rank_09	Expose rank-9	9	60	layer3.0.conv1.weight	82	26	351012	0.031262725097285206	4210f58d92e46b22e7ee2471fdf9026be06a9e1013b7220f88d6d159c3da191a	0.1503	0.164	2.8253155433654786	0.035699999999999996	0.04010000000000001	-0.3352490463256834	True	0.1507	0.1564	2.9742168075561524	False
