seed	case	label	protected_weight_names	best_epoch	protected_unit_count	protected_param_count	protected_param_ratio	protection_mask_sha256	surrogate_acc	fidelity	posterior_kl	accuracy_minus_conv1	fidelity_minus_conv1	posterior_kl_minus_conv1	matched_blackbox_accuracy	matched_blackbox_fidelity	matched_blackbox_posterior_kl
43	conv1_protected	Protect five conv1	layer1.0.conv1.weight,layer1.1.conv1.weight,layer2.0.conv1.weight,layer2.1.conv1.weight,layer3.0.conv1.weight	49	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.114	0.1226	3.2003326099395752	0.0	0.0	0.0	0.1536	0.1555	3.0075808403015136
43	conv2_protected	Protect matched five conv2	layer1.0.conv2.weight,layer1.1.conv2.weight,layer2.0.conv2.weight,layer2.1.conv2.weight,layer3.0.conv2.weight	51	27	1014564	0.09036168400397157	c27145134240def4586e709d4b4043979bc19d7e1f410f1d531334a36e26f771	0.1236	0.1356	3.0999663711547853	0.009599999999999997	0.012999999999999998	-0.1003662387847899	0.1536	0.1555	3.0075808403015136
43	soft_full_protection	Matched soft black-box		48	122	11227812	1.0	7e96847f0f89f6d4552091505464c9f18f4dd5ab49b3fb6a1a51195e275c1fa7	0.1536	0.1555	3.0075808403015136	0.03959999999999998	0.0329	-0.19275176963806162	0.1536	0.1555	3.0075808403015136
44	conv1_protected	Protect five conv1	layer1.0.conv1.weight,layer1.1.conv1.weight,layer2.0.conv1.weight,layer2.1.conv1.weight,layer3.0.conv1.weight	45	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1109	0.1234	3.159061231613159	0.0	0.0	0.0	0.15	0.1551	2.955327938461304
44	conv2_protected	Protect matched five conv2	layer1.0.conv2.weight,layer1.1.conv2.weight,layer2.0.conv2.weight,layer2.1.conv2.weight,layer3.0.conv2.weight	50	27	1014564	0.09036168400397157	c27145134240def4586e709d4b4043979bc19d7e1f410f1d531334a36e26f771	0.1136	0.1261	3.1432153244018552	0.002700000000000008	0.002699999999999994	-0.015845907211303967	0.15	0.1551	2.955327938461304
44	soft_full_protection	Matched soft black-box		60	122	11227812	1.0	7e96847f0f89f6d4552091505464c9f18f4dd5ab49b3fb6a1a51195e275c1fa7	0.15	0.1551	2.955327938461304	0.039099999999999996	0.03169999999999999	-0.2037332931518554	0.15	0.1551	2.955327938461304
45	conv1_protected	Protect five conv1	layer1.0.conv1.weight,layer1.1.conv1.weight,layer2.0.conv1.weight,layer2.1.conv1.weight,layer3.0.conv1.weight	25	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1077	0.1129	3.23072205657959	0.0	0.0	0.0	0.1518	0.1617	2.9247035690307617
45	conv2_protected	Protect matched five conv2	layer1.0.conv2.weight,layer1.1.conv2.weight,layer2.0.conv2.weight,layer2.1.conv2.weight,layer3.0.conv2.weight	48	27	1014564	0.09036168400397157	c27145134240def4586e709d4b4043979bc19d7e1f410f1d531334a36e26f771	0.127	0.1368	3.109577770996094	0.019299999999999998	0.023900000000000005	-0.1211442855834961	0.1518	0.1617	2.9247035690307617
45	soft_full_protection	Matched soft black-box		95	122	11227812	1.0	7e96847f0f89f6d4552091505464c9f18f4dd5ab49b3fb6a1a51195e275c1fa7	0.1518	0.1617	2.9247035690307617	0.044099999999999986	0.04880000000000001	-0.3060184875488283	0.1518	0.1617	2.9247035690307617
46	conv1_protected	Protect five conv1	layer1.0.conv1.weight,layer1.1.conv1.weight,layer2.0.conv1.weight,layer2.1.conv1.weight,layer3.0.conv1.weight	100	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1093	0.1196	3.172499655151367	0.0	0.0	0.0	0.1524	0.157	2.9586137844085694
46	conv2_protected	Protect matched five conv2	layer1.0.conv2.weight,layer1.1.conv2.weight,layer2.0.conv2.weight,layer2.1.conv2.weight,layer3.0.conv2.weight	47	27	1014564	0.09036168400397157	c27145134240def4586e709d4b4043979bc19d7e1f410f1d531334a36e26f771	0.1288	0.1408	3.075188034439087	0.019500000000000003	0.02120000000000001	-0.09731162071228017	0.1524	0.157	2.9586137844085694
46	soft_full_protection	Matched soft black-box		96	122	11227812	1.0	7e96847f0f89f6d4552091505464c9f18f4dd5ab49b3fb6a1a51195e275c1fa7	0.1524	0.157	2.9586137844085694	0.04310000000000001	0.0374	-0.21388587074279775	0.1524	0.157	2.9586137844085694
47	conv1_protected	Protect five conv1	layer1.0.conv1.weight,layer1.1.conv1.weight,layer2.0.conv1.weight,layer2.1.conv1.weight,layer3.0.conv1.weight	88	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1164	0.1238	3.1314981315612793	0.0	0.0	0.0	0.15	0.157	2.9716312255859374
47	conv2_protected	Protect matched five conv2	layer1.0.conv2.weight,layer1.1.conv2.weight,layer2.0.conv2.weight,layer2.1.conv2.weight,layer3.0.conv2.weight	92	27	1014564	0.09036168400397157	c27145134240def4586e709d4b4043979bc19d7e1f410f1d531334a36e26f771	0.1353	0.1427	3.0256338947296144	0.0189	0.0189	-0.1058642368316649	0.15	0.157	2.9716312255859374
47	soft_full_protection	Matched soft black-box		57	122	11227812	1.0	7e96847f0f89f6d4552091505464c9f18f4dd5ab49b3fb6a1a51195e275c1fa7	0.15	0.157	2.9716312255859374	0.03359999999999999	0.03320000000000001	-0.15986690597534192	0.15	0.157	2.9716312255859374
48	conv1_protected	Protect five conv1	layer1.0.conv1.weight,layer1.1.conv1.weight,layer2.0.conv1.weight,layer2.1.conv1.weight,layer3.0.conv1.weight	83	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1135	0.1211	3.1766055503845214	0.0	0.0	0.0	0.1332	0.1408	3.1477268814086914
48	conv2_protected	Protect matched five conv2	layer1.0.conv2.weight,layer1.1.conv2.weight,layer2.0.conv2.weight,layer2.1.conv2.weight,layer3.0.conv2.weight	80	27	1014564	0.09036168400397157	c27145134240def4586e709d4b4043979bc19d7e1f410f1d531334a36e26f771	0.1315	0.1413	3.0123336311340334	0.018000000000000002	0.02020000000000001	-0.164271919250488	0.1332	0.1408	3.1477268814086914
48	soft_full_protection	Matched soft black-box		28	122	11227812	1.0	7e96847f0f89f6d4552091505464c9f18f4dd5ab49b3fb6a1a51195e275c1fa7	0.1332	0.1408	3.1477268814086914	0.01970000000000001	0.01970000000000001	-0.028878668975830024	0.1332	0.1408	3.1477268814086914
49	conv1_protected	Protect five conv1	layer1.0.conv1.weight,layer1.1.conv1.weight,layer2.0.conv1.weight,layer2.1.conv1.weight,layer3.0.conv1.weight	44	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1041	0.1154	3.2605746044158934	0.0	0.0	0.0	0.145	0.1559	2.937340302276611
49	conv2_protected	Protect matched five conv2	layer1.0.conv2.weight,layer1.1.conv2.weight,layer2.0.conv2.weight,layer2.1.conv2.weight,layer3.0.conv2.weight	49	27	1014564	0.09036168400397157	c27145134240def4586e709d4b4043979bc19d7e1f410f1d531334a36e26f771	0.1162	0.1255	3.159561329650879	0.0121	0.010099999999999998	-0.10101327476501432	0.145	0.1559	2.937340302276611
49	soft_full_protection	Matched soft black-box		85	122	11227812	1.0	7e96847f0f89f6d4552091505464c9f18f4dd5ab49b3fb6a1a51195e275c1fa7	0.145	0.1559	2.937340302276611	0.04089999999999999	0.04050000000000001	-0.3232343021392823	0.145	0.1559	2.937340302276611
50	conv1_protected	Protect five conv1	layer1.0.conv1.weight,layer1.1.conv1.weight,layer2.0.conv1.weight,layer2.1.conv1.weight,layer3.0.conv1.weight	100	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1152	0.1205	3.158194119644165	0.0	0.0	0.0	0.1425	0.1501	3.0149650390625
50	conv2_protected	Protect matched five conv2	layer1.0.conv2.weight,layer1.1.conv2.weight,layer2.0.conv2.weight,layer2.1.conv2.weight,layer3.0.conv2.weight	42	27	1014564	0.09036168400397157	c27145134240def4586e709d4b4043979bc19d7e1f410f1d531334a36e26f771	0.1196	0.1292	3.168242115402222	0.004400000000000001	0.008700000000000013	0.010047995758056594	0.1425	0.1501	3.0149650390625
50	soft_full_protection	Matched soft black-box		87	122	11227812	1.0	7e96847f0f89f6d4552091505464c9f18f4dd5ab49b3fb6a1a51195e275c1fa7	0.1425	0.1501	3.0149650390625	0.02729999999999999	0.029600000000000015	-0.14322908058166517	0.1425	0.1501	3.0149650390625
51	conv1_protected	Protect five conv1	layer1.0.conv1.weight,layer1.1.conv1.weight,layer2.0.conv1.weight,layer2.1.conv1.weight,layer3.0.conv1.weight	83	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1202	0.1309	3.0769005107879637	0.0	0.0	0.0	0.1483	0.1526	2.9577788276672363
51	conv2_protected	Protect matched five conv2	layer1.0.conv2.weight,layer1.1.conv2.weight,layer2.0.conv2.weight,layer2.1.conv2.weight,layer3.0.conv2.weight	36	27	1014564	0.09036168400397157	c27145134240def4586e709d4b4043979bc19d7e1f410f1d531334a36e26f771	0.1244	0.1345	3.135989850997925	0.004199999999999995	0.00360000000000002	0.05908934020996126	0.1483	0.1526	2.9577788276672363
51	soft_full_protection	Matched soft black-box		95	122	11227812	1.0	7e96847f0f89f6d4552091505464c9f18f4dd5ab49b3fb6a1a51195e275c1fa7	0.1483	0.1526	2.9577788276672363	0.028099999999999986	0.021700000000000025	-0.11912168312072735	0.1483	0.1526	2.9577788276672363
52	conv1_protected	Protect five conv1	layer1.0.conv1.weight,layer1.1.conv1.weight,layer2.0.conv1.weight,layer2.1.conv1.weight,layer3.0.conv1.weight	93	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1146	0.1239	3.160564589691162	0.0	0.0	0.0	0.1507	0.1564	2.9742168075561524
52	conv2_protected	Protect matched five conv2	layer1.0.conv2.weight,layer1.1.conv2.weight,layer2.0.conv2.weight,layer2.1.conv2.weight,layer3.0.conv2.weight	58	27	1014564	0.09036168400397157	c27145134240def4586e709d4b4043979bc19d7e1f410f1d531334a36e26f771	0.1275	0.1347	3.1113178718566896	0.012900000000000009	0.01079999999999999	-0.04924671783447243	0.1507	0.1564	2.9742168075561524
52	soft_full_protection	Matched soft black-box		83	122	11227812	1.0	7e96847f0f89f6d4552091505464c9f18f4dd5ab49b3fb6a1a51195e275c1fa7	0.1507	0.1564	2.9742168075561524	0.03610000000000001	0.032500000000000015	-0.1863477821350097	0.1507	0.1564	2.9742168075561524
