seed	block	stage	block_index	variant	public_state_names	public_param_count	candidate_conv1	soft_ce	posterior_kl	fidelity	prediction_entropy	feature_rms	feature_l2	logit_rms	kl_minus_victim
43	layer1.0	1	0	conv1_weight	layer1.0.conv1.weight	36864	True	0.7273396301269531	0.20080146789550782	0.84	0.7886868286132812	0.6371435627514918	14.33584228515625	2.8627738679032966	0.20080137560376898
43	layer1.0	1	0	bn1_gamma	layer1.0.bn1.weight	64	True	0.5688182830810546	0.04228015422821045	0.98	0.5915493774414062	0.6792345945249064	15.263729248046875	3.1006743218209807	0.042280061936471616
43	layer1.0	1	0	conv1_weight_bn1_gamma	layer1.0.conv1.weight,layer1.0.bn1.weight	36928	True	0.7992343139648438	0.27269620895385743	0.8	0.8429878234863282	0.6521309767148128	14.66712158203125	2.944601256961628	0.27269611666211857
43	layer1.0	1	0	conv2_weight	layer1.0.conv2.weight	36864	True	0.9388760375976563	0.41233795166015624	0.74	0.8528439331054688	0.6767234276077225	15.205408935546876	3.0474207844503525	0.4123378593684174
43	layer1.0	1	0	bn2_gamma	layer1.0.bn2.weight	64	True	0.5617695617675781	0.035231432914733886	0.95	0.5870336532592774	0.6749758680762976	15.162340087890625	3.092789244759494	0.03523134062299505
43	layer1.0	1	0	conv2_weight_bn2_gamma	layer1.0.conv2.weight,layer1.0.bn2.weight	36928	True	7.159168090820312	6.63262939453125	0.21	0.8891572570800781	0.8243847951820459	18.29705810546875	3.284165133637467	6.632629302239511
43	layer1.1	1	1	conv1_weight	layer1.1.conv1.weight	36864	True	0.8257640075683593	0.299225902557373	0.83	0.8783884429931641	0.6562754017591255	14.748768310546875	2.93944722694591	0.29922581026563416
43	layer1.1	1	1	bn1_gamma	layer1.1.bn1.weight	64	True	0.5380855178833008	0.011547393798828125	0.96	0.528667221069336	0.6788424726408424	15.253929443359375	3.0891652897668003	0.011547301507089287
43	layer1.1	1	1	conv1_weight_bn1_gamma	layer1.1.conv1.weight,layer1.1.bn1.weight	36928	True	0.8383473968505859	0.31180927276611325	0.84	0.8514295196533204	0.6570955768896704	14.7645947265625	2.9619193787559444	0.3118091804743744
43	layer1.1	1	1	conv2_weight	layer1.1.conv2.weight	36864	True	0.665367431640625	0.138829345703125	0.88	0.732088623046875	0.676506988150965	15.184261474609375	3.0128319319205312	0.13882925341138616
43	layer1.1	1	1	bn2_gamma	layer1.1.bn2.weight	64	True	0.5811235427856445	0.054585447311401365	0.91	0.5495801544189454	0.6718096466216791	15.102635498046874	3.068998462446666	0.05458535501966253
43	layer1.1	1	1	conv2_weight_bn2_gamma	layer1.1.conv2.weight,layer1.1.bn2.weight	36928	True	0.7925867462158203	0.2660486602783203	0.84	0.813775634765625	0.6781495823777388	15.2306787109375	3.0444274143506855	0.26604856798658144
43	layer2.0	2	0	conv1_weight	layer2.0.conv1.weight	73728	True	1.8262127685546874	1.2996746826171874	0.53	1.488436737060547	0.6151388194642848	13.8361669921875	2.7589632337166075	1.2996745903254485
43	layer2.0	2	0	bn1_gamma	layer2.0.bn1.weight	128	True	0.6294661712646484	0.10292805671691894	0.93	0.6855856323242188	0.6495650376668834	14.6018603515625	2.934146223776177	0.10292796442518011
43	layer2.0	2	0	conv1_weight_bn1_gamma	layer2.0.conv1.weight,layer2.0.bn1.weight	73856	True	1.9160269165039063	1.3894888305664062	0.49	1.50913330078125	0.5939657682579903	13.351036376953125	2.542107731538929	1.3894887382746672
43	layer2.0	2	0	conv2_weight	layer2.0.conv2.weight	147456	True	1.9436015319824218	1.4170632934570313	0.5	1.5567587280273438	0.595975155613385	13.4004052734375	2.5697563418055807	1.4170632011652924
43	layer2.0	2	0	bn2_gamma	layer2.0.bn2.weight	128	True	0.5635627746582031	0.03702462673187256	0.97	0.6318779754638671	0.657851062650113	14.79044189453125	3.0140294354070267	0.037024534440133726
43	layer2.0	2	0	conv2_weight_bn2_gamma	layer2.0.conv2.weight,layer2.0.bn2.weight	147584	True	6.349658203125	5.8231201171875	0.19	1.1231240081787108	0.799926563707081	17.56632080078125	3.1752741023414024	5.823120024895761
43	layer2.1	2	1	conv1_weight	layer2.1.conv1.weight	147456	True	0.695869140625	0.1693310546875	0.87	0.7033415222167969	0.6529038342267924	14.691290283203125	2.9504409098472046	0.16933096239576118
43	layer2.1	2	1	bn1_gamma	layer2.1.bn1.weight	128	True	0.5363578796386719	0.009819784164428712	0.99	0.5465972518920899	0.6661624941160336	14.97783203125	3.03532432369261	0.009819691872689874
43	layer2.1	2	1	conv1_weight_bn1_gamma	layer2.1.conv1.weight,layer2.1.bn1.weight	147584	True	0.7788577270507813	0.25231964111328126	0.83	0.8394699096679688	0.635268010328152	14.3045458984375	2.861335461808	0.2523195488215424
43	layer2.1	2	1	conv2_weight	layer2.1.conv2.weight	147456	True	0.6881050109863281	0.16156692504882814	0.89	0.7975038146972656	0.6520127165788765	14.66996826171875	2.949592132821079	0.1615668327570893
43	layer2.1	2	1	bn2_gamma	layer2.1.bn2.weight	128	True	0.5510700607299804	0.024531967639923095	0.96	0.5412085723876953	0.6689120942938452	15.0273974609375	3.05056347254077	0.024531875348184257
43	layer2.1	2	1	conv2_weight_bn2_gamma	layer2.1.conv2.weight,layer2.1.bn2.weight	147584	True	0.8031248474121093	0.27658668518066404	0.88	0.8502214050292969	0.6535717180238034	14.71558349609375	2.962382909078433	0.2765865928889252
43	layer3.0	3	0	conv1_weight	layer3.0.conv1.weight	294912	True	1.9493174743652344	1.4227793884277344	0.45	2.1160968017578123	0.520029828609901	11.72911865234375	2.4081036691243174	1.4227792961359955
43	layer3.0	3	0	bn1_gamma	layer3.0.bn1.weight	256	True	0.5476856994628906	0.021147561073303223	0.97	0.6046504211425782	0.6535943639990841	14.69233154296875	3.00352085060184	0.021147468781564385
43	layer3.0	3	0	conv1_weight_bn1_gamma	layer3.0.conv1.weight,layer3.0.bn1.weight	295168	True	2.1804820251464845	1.6539437866210938	0.41	2.201591033935547	0.5146219751261258	11.61082275390625	2.4285546595403202	1.6539436943293548
43	layer3.0	3	0	conv2_weight	layer3.0.conv2.weight	589824	True	2.427473297119141	1.90093505859375	0.35	2.4658030700683593	0.4689963138655075	10.5760791015625	2.222512303115553	1.900934966302011
43	layer3.0	3	0	bn2_gamma	layer3.0.bn2.weight	256	True	0.5571472930908203	0.030609145164489746	0.93	0.6403724670410156	0.636610959530187	14.3049267578125	2.9015144213841157	0.030609052872750907
43	layer3.0	3	0	conv2_weight_bn2_gamma	layer3.0.conv2.weight,layer3.0.bn2.weight	590080	True	2.5378302001953124	2.0112921142578126	0.36	2.485945587158203	0.4761617207246371	10.7217138671875	2.2477703362165364	2.011292021966074
43	layer3.1	3	1	conv1_weight	layer3.1.conv1.weight	589824	False	0.5282697296142578	0.0017316174507141114	0.98	0.5194869232177735	0.6860768795697577	15.414818115234375	3.1487172487379684	0.0017315251589752735
43	layer3.1	3	1	bn1_gamma	layer3.1.bn1.weight	256	False	0.8561161804199219	0.32957805633544923	0.9	1.1774695587158204	0.5734941750773553	12.85237060546875	2.483151349595912	0.32957796404371037
43	layer3.1	3	1	conv1_weight_bn1_gamma	layer3.1.conv1.weight,layer3.1.bn1.weight	590080	False	0.8942999267578124	0.36776176452636716	0.84	1.350013427734375	0.546438878137604	12.229462890625	2.391613031120419	0.3677616722346283
43	layer3.1	3	1	conv2_weight	layer3.1.conv2.weight	589824	False	0.5297298431396484	0.0031917184591293336	0.98	0.5135028457641602	0.6900734472575099	15.505799560546874	3.151855108503562	0.0031916261673904955
43	layer3.1	3	1	bn2_gamma	layer3.1.bn2.weight	256	False	0.7118699645996094	0.1853318405151367	0.91	1.0720140075683593	0.5490210751238752	12.28235595703125	2.4692060496493604	0.18533174822339787
43	layer3.1	3	1	conv2_weight_bn2_gamma	layer3.1.conv2.weight,layer3.1.bn2.weight	590080	False	1.6234176635742188	1.0968795776367188	0.57	1.8213607788085937	0.5513454280266223	12.31796630859375	2.2323971140905914	1.09687948534498
43	layer4.0	4	0	conv1_weight	layer4.0.conv1.weight	1179648	False	1.167694091796875	0.641156005859375	0.71	1.6751824951171874	0.5005848706338611	11.2781201171875	2.22820397826366	0.6411559135676362
43	layer4.0	4	0	bn1_gamma	layer4.0.bn1.weight	512	False	0.5409848785400391	0.01444678544998169	0.97	0.5523773956298829	0.6641438656494428	14.916455078125	3.0404651165570047	0.014446693158242851
43	layer4.0	4	0	conv1_weight_bn1_gamma	layer4.0.conv1.weight,layer4.0.bn1.weight	1180160	False	1.1887881469726562	0.6622500610351563	0.71	1.441940155029297	0.6760305943535049	15.22315673828125	2.663392456060503	0.6622499687434175
43	layer4.0	4	0	conv2_weight	layer4.0.conv2.weight	2359296	False	1.194362335205078	0.6678243255615235	0.81	2.0571534729003904	0.44050559732472644	9.93016845703125	1.9566355450747592	0.6678242332697847
43	layer4.0	4	0	bn2_gamma	layer4.0.bn2.weight	512	False	0.5329660415649414	0.006427932977676392	0.99	0.5905484008789063	0.6529390061124584	14.67625732421875	2.964208368181967	0.006427840685937554
43	layer4.0	4	0	conv2_weight_bn2_gamma	layer4.0.conv2.weight,layer4.0.bn2.weight	2359808	False	1.2151255798339844	0.6885874938964843	0.8	2.10489990234375	0.4497273996982023	10.134837036132813	1.936394442643337	0.6885874016047455
43	layer4.1	4	1	conv1_weight	layer4.1.conv1.weight	2359296	False	0.6318852233886719	0.10534711837768555	0.93	0.9290351104736329	0.6140311895643514	13.820799560546876	2.703471726317847	0.10534702608594672
43	layer4.1	4	1	bn1_gamma	layer4.1.bn1.weight	512	False	0.5630365753173828	0.036498477458953855	0.94	0.4238377380371094	0.7540218094724822	16.887659912109374	3.4392656828892996	0.03649838516721502
43	layer4.1	4	1	conv1_weight_bn1_gamma	layer4.1.conv1.weight,layer4.1.bn1.weight	2359808	False	0.6688003540039062	0.14226229667663573	0.89	0.9494352722167969	0.6032463939826141	13.579276123046874	2.7013541164571517	0.1422622043848969
43	layer4.1	4	1	conv2_weight	layer4.1.conv2.weight	2359296	False	0.6128275299072266	0.08628938674926757	0.93	0.8982258605957031	0.6186699092933476	13.92382568359375	2.662524501060976	0.08628929445752874
43	layer4.1	4	1	bn2_gamma	layer4.1.bn2.weight	512	False	1.296544189453125	0.770006103515625	0.86	0.13093369483947753	1.8628945156831882	41.4661328125	8.230012150659316	0.7700060112238862
43	layer4.1	4	1	conv2_weight_bn2_gamma	layer4.1.conv2.weight,layer4.1.bn2.weight	2359808	False	2.088517150878906	1.5619790649414063	0.49	0.8953972625732421	1.4896137510097258	33.517060546875	4.623376573187609	1.5619789726496673
44	layer1.0	1	0	conv1_weight	layer1.0.conv1.weight	36864	True	0.7259066772460937	0.2458707046508789	0.85	0.8265506744384765	0.6244418894819947	14.04861572265625	2.818999711777211	0.24587061042548156
44	layer1.0	1	0	bn1_gamma	layer1.0.bn1.weight	64	True	0.5195701599121094	0.03953424453735352	0.96	0.5760861968994141	0.6612847752792387	14.864495849609375	3.0419504433833238	0.03953415031195619
44	layer1.0	1	0	conv1_weight_bn1_gamma	layer1.0.conv1.weight,layer1.0.bn1.weight	36928	True	0.8556584167480469	0.375622444152832	0.76	0.8626349639892578	0.6373811498817716	14.332034912109375	2.8983916606887346	0.3756223499274347
44	layer1.0	1	0	conv2_weight	layer1.0.conv2.weight	36864	True	1.014480438232422	0.5344445037841797	0.74	0.9207293701171875	0.6529683340435981	14.67885498046875	2.979849907084248	0.5344444095587824
44	layer1.0	1	0	bn2_gamma	layer1.0.bn2.weight	64	True	0.5500345230102539	0.06999857425689697	0.94	0.514162368774414	0.6537880775930622	14.6976220703125	3.0253269451416323	0.06999848003149964
44	layer1.0	1	0	conv2_weight_bn2_gamma	layer1.0.conv2.weight,layer1.0.bn2.weight	36928	True	7.892860107421875	7.412824096679688	0.18	0.9252955627441406	0.8103635428961952	17.812086181640623	3.258034300003608	7.412824002454291
44	layer1.1	1	1	conv1_weight	layer1.1.conv1.weight	36864	True	0.7670760345458985	0.28704008102416995	0.83	0.9097718811035156	0.6474735163276589	14.535489501953125	2.873357954989249	0.28703998679877263
44	layer1.1	1	1	bn1_gamma	layer1.1.bn1.weight	64	True	0.4918267059326172	0.011790754795074463	0.99	0.5011558151245117	0.6572281586626234	14.7751513671875	3.0067369667963972	0.01179066056967713
44	layer1.1	1	1	conv1_weight_bn1_gamma	layer1.1.conv1.weight,layer1.1.bn1.weight	36928	True	0.7635894012451172	0.28355352401733397	0.83	0.8899234008789062	0.6425003218000622	14.42362548828125	2.874489085037548	0.28355342979193665
44	layer1.1	1	1	conv2_weight	layer1.1.conv2.weight	36864	True	0.7049203491210938	0.22488441467285156	0.9	0.7207550811767578	0.6570029163034591	14.75958984375	2.960882205948085	0.2248843204474542
44	layer1.1	1	1	bn2_gamma	layer1.1.bn2.weight	64	True	0.5107135772705078	0.030677595138549806	0.93	0.5471067428588867	0.6525675315549695	14.677197265625	2.9702893377581923	0.030677500913152474
44	layer1.1	1	1	conv2_weight_bn2_gamma	layer1.1.conv2.weight,layer1.1.bn2.weight	36928	True	0.8177497100830078	0.33771381378173826	0.82	0.8344615936279297	0.6580881008081615	14.7924609375	2.9830906267661397	0.33771371955634094
44	layer2.0	2	0	conv1_weight	layer2.0.conv1.weight	73728	True	1.71884521484375	1.2388092041015626	0.58	1.4246820068359376	0.6030517217364987	13.5564111328125	2.700506896862143	1.2388091098761653
44	layer2.0	2	0	bn1_gamma	layer2.0.bn1.weight	128	True	0.607735481262207	0.12769954681396484	0.88	0.714816665649414	0.6339724010152361	14.25864501953125	2.8775313584303475	0.1276994525885675
44	layer2.0	2	0	conv1_weight_bn1_gamma	layer2.0.conv1.weight,layer2.0.bn1.weight	73856	True	1.9330450439453124	1.453009033203125	0.53	1.5332868957519532	0.5796676920259667	13.023931884765625	2.506827785643641	1.4530089389777276
44	layer2.0	2	0	conv2_weight	layer2.0.conv2.weight	147456	True	1.8356118774414063	1.3555760192871094	0.53	1.5419943237304687	0.5888087528013559	13.2456640625	2.566850575121193	1.355575925061712
44	layer2.0	2	0	bn2_gamma	layer2.0.bn2.weight	128	True	0.5197590637207031	0.03972314119338989	0.96	0.5914912796020508	0.6412170056634889	14.422816162109376	2.937995569899655	0.03972304696799256
44	layer2.0	2	0	conv2_weight_bn2_gamma	layer2.0.conv2.weight,layer2.0.bn2.weight	147584	True	6.07560546875	5.595569458007812	0.2	1.1813748168945313	0.7787037118347359	17.072674560546876	3.1386702249917877	5.595569363782415
44	layer2.1	2	1	conv1_weight	layer2.1.conv1.weight	147456	True	0.6575628662109375	0.17752691268920898	0.9	0.72107177734375	0.6420177671641901	14.438642578125	2.9110479212819564	0.17752681846381163
44	layer2.1	2	1	bn1_gamma	layer2.1.bn1.weight	128	True	0.49388019561767577	0.013844265937805175	0.98	0.4988740158081055	0.6477804582532006	14.570986328125	2.969361121310441	0.013844171712407842
44	layer2.1	2	1	conv1_weight_bn1_gamma	layer2.1.conv1.weight,layer2.1.bn1.weight	147584	True	0.7136004638671875	0.23356452941894532	0.89	0.857681884765625	0.6300681655579115	14.17104736328125	2.8411867568852283	0.23356443519354797
44	layer2.1	2	1	conv2_weight	layer2.1.conv2.weight	147456	True	0.6747881317138672	0.19475221633911133	0.91	0.78941650390625	0.6395661922315824	14.3863330078125	2.907527138738347	0.19475212211371398
44	layer2.1	2	1	bn2_gamma	layer2.1.bn2.weight	128	True	0.5011080551147461	0.021072120666503907	0.96	0.5059366607666016	0.6475712516788995	14.56432861328125	2.971354909801251	0.021072026441106576
44	layer2.1	2	1	conv2_weight_bn2_gamma	layer2.1.conv2.weight,layer2.1.bn2.weight	147584	True	0.8057621765136719	0.32572624206542966	0.83	0.8919538116455078	0.638080407507794	14.35767333984375	2.9003864236080683	0.32572614784003234
44	layer3.0	3	0	conv1_weight	layer3.0.conv1.weight	294912	True	2.037913360595703	1.5578775024414062	0.43	2.131123352050781	0.5178981727168641	11.677032470703125	2.3904191087809266	1.557877408216009
44	layer3.0	3	0	bn1_gamma	layer3.0.bn1.weight	256	True	0.49610801696777346	0.016072111129760744	0.99	0.5522902679443359	0.6328830858588425	14.2384716796875	2.9152907766636247	0.016072016904363412
44	layer3.0	3	0	conv1_weight_bn1_gamma	layer3.0.conv1.weight,layer3.0.bn1.weight	295168	True	2.205361022949219	1.7253250122070312	0.41	2.199187774658203	0.5116729389680169	11.543172607421875	2.401419176757777	1.725324917981634
44	layer3.0	3	0	conv2_weight	layer3.0.conv2.weight	589824	True	2.3615739440917967	1.8815380859375	0.39	2.4682275390625	0.46359041907718096	10.453604736328124	2.1999296863763624	1.8815379917121027
44	layer3.0	3	0	bn2_gamma	layer3.0.bn2.weight	256	True	0.5044394302368164	0.0244035005569458	0.96	0.5823795318603515	0.6184868146867856	13.90027587890625	2.8292016597001353	0.024403406331548468
44	layer3.0	3	0	conv2_weight_bn2_gamma	layer3.0.conv2.weight,layer3.0.bn2.weight	590080	True	2.48687744140625	2.0068414306640623	0.4	2.4778466796875	0.4647608989322031	10.48011474609375	2.2001480774029734	2.006841336438665
44	layer3.1	3	1	conv1_weight	layer3.1.conv1.weight	589824	False	0.48165359497070315	0.0016176451742649079	0.99	0.4761213684082031	0.6675080076730294	15.0137744140625	3.082750648771321	0.0016175509488675743
44	layer3.1	3	1	bn1_gamma	layer3.1.bn1.weight	256	False	0.7398975372314454	0.2598615837097168	0.96	1.0444984436035156	0.5586894517559983	12.534925537109375	2.433552251853245	0.2598614894843195
44	layer3.1	3	1	conv1_weight_bn1_gamma	layer3.1.conv1.weight,layer3.1.bn1.weight	590080	False	0.9357099914550782	0.45567405700683594	0.79	1.3406710815429688	0.5355879730993881	11.98987548828125	2.3746438055264205	0.4556739627814386
44	layer3.1	3	1	conv2_weight	layer3.1.conv2.weight	589824	False	0.48321632385253904	0.003180413842201233	0.99	0.47143962860107425	0.6690331260793474	15.05079833984375	3.0718661622456795	0.003180319616803899
44	layer3.1	3	1	bn2_gamma	layer3.1.bn2.weight	256	False	0.6713639068603515	0.1913279724121094	0.94	1.1153985595703124	0.5260463278787402	11.79916015625	2.3655353351567165	0.19132787818671204
44	layer3.1	3	1	conv2_weight_bn2_gamma	layer3.1.conv2.weight,layer3.1.bn2.weight	590080	False	1.6044361877441407	1.1244001770019532	0.59	1.933933563232422	0.5340476299289371	11.97731201171875	2.1469438671632752	1.124400082776556
44	layer4.0	4	0	conv1_weight	layer4.0.conv1.weight	1179648	False	1.200530776977539	0.7204948425292969	0.73	1.7423538208007812	0.49278903593276796	11.10608642578125	2.198452936157606	0.7204947483038995
44	layer4.0	4	0	bn1_gamma	layer4.0.bn1.weight	512	False	0.49076324462890625	0.010727297067642211	0.97	0.516329231262207	0.6448671591530317	14.4985546875	2.9712143718940913	0.010727202842244878
44	layer4.0	4	0	conv1_weight_bn1_gamma	layer4.0.conv1.weight,layer4.0.bn1.weight	1180160	False	1.2668089294433593	0.7867730712890625	0.66	1.5045211791992188	0.6657982542547347	14.994749755859376	2.6078001984431247	0.7867729770636651
44	layer4.0	4	0	conv2_weight	layer4.0.conv2.weight	2359296	False	1.172283935546875	0.6922480773925781	0.8	2.1039828491210937	0.43058790160607335	9.6957080078125	1.9221439852414803	0.6922479831671807
44	layer4.0	4	0	bn2_gamma	layer4.0.bn2.weight	512	False	0.48628021240234376	0.006244270205497742	0.99	0.5516782379150391	0.6331329363281274	14.23758056640625	2.888110866119928	0.006244175980100408
44	layer4.0	4	0	conv2_weight_bn2_gamma	layer4.0.conv2.weight,layer4.0.bn2.weight	2359808	False	1.2048009490966798	0.7247650146484375	0.78	2.1531915283203125	0.43986300329752887	9.9046044921875	1.903827559155503	0.7247649204230401
44	layer4.1	4	1	conv1_weight	layer4.1.conv1.weight	2359296	False	0.5707497406005859	0.09071383476257325	0.96	0.8285527801513672	0.5985292210022454	13.48255615234375	2.6401219195332626	0.09071374053717592
44	layer4.1	4	1	bn1_gamma	layer4.1.bn1.weight	512	False	0.5114862823486328	0.03145033836364746	0.95	0.4111981964111328	0.7289840673058241	16.349649658203123	3.350198688137765	0.03145024413825013
44	layer4.1	4	1	conv1_weight_bn1_gamma	layer4.1.conv1.weight,layer4.1.bn1.weight	2359808	False	0.5941877365112305	0.11415180206298828	0.95	0.8306692504882812	0.5871900999164933	13.22968017578125	2.6398070478730067	0.11415170783759095
44	layer4.1	4	1	conv2_weight	layer4.1.conv2.weight	2359296	False	0.5694542312622071	0.08941831588745117	0.96	0.8441996765136719	0.6010633265285436	13.5380615234375	2.594471435813083	0.08941822166205383
44	layer4.1	4	1	bn2_gamma	layer4.1.bn2.weight	512	False	1.2095791625976562	0.7295432281494141	0.9	0.11980230331420899	1.8087948727264689	40.236142578125	8.066205737519965	0.7295431339240167
44	layer4.1	4	1	conv2_weight_bn2_gamma	layer4.1.conv2.weight,layer4.1.bn2.weight	2359808	False	1.9779670715332032	1.4979312133789062	0.49	0.95397705078125	1.4497454715821834	32.651240234375	4.527928437762681	1.497931119153509
45	layer1.0	1	0	conv1_weight	layer1.0.conv1.weight	36864	True	0.7255816650390625	0.1980679702758789	0.85	0.7323753356933593	0.6374620613328074	14.33010986328125	2.8519513604723348	0.19806787478504703
45	layer1.0	1	0	bn1_gamma	layer1.0.bn1.weight	64	True	0.5702607727050781	0.04274706840515137	0.94	0.5662899398803711	0.6810290056905043	15.30789306640625	3.0952866133445545	0.04274697291431949
45	layer1.0	1	0	conv1_weight_bn1_gamma	layer1.0.conv1.weight,layer1.0.bn1.weight	36928	True	0.8689825439453125	0.3414688873291016	0.79	0.7877243041992188	0.6531012863891811	14.674171142578125	2.935040193506726	0.34146879183826967
45	layer1.0	1	0	conv2_weight	layer1.0.conv2.weight	36864	True	0.9680043029785156	0.44049060821533204	0.8	0.8031771850585937	0.6792275181132642	15.276932373046876	3.0521292516454803	0.4404905127245001
45	layer1.0	1	0	bn2_gamma	layer1.0.bn2.weight	64	True	0.5592644500732422	0.03175074577331543	0.96	0.6001807403564453	0.672252176561446	15.100501708984375	3.056016734451891	0.03175065028248355
45	layer1.0	1	0	conv2_weight_bn2_gamma	layer1.0.conv2.weight,layer1.0.bn2.weight	36928	True	8.176013793945312	7.648499755859375	0.22	0.7178407287597657	0.8554109123570334	18.740435791015624	3.466709084275749	7.648499660368543
45	layer1.1	1	1	conv1_weight	layer1.1.conv1.weight	36864	True	0.81480712890625	0.287293529510498	0.84	0.7334637451171875	0.658682364478806	14.8066943359375	2.9234726247221814	0.2872934340196661
45	layer1.1	1	1	bn1_gamma	layer1.1.bn1.weight	64	True	0.5398984909057617	0.012384774684906006	0.97	0.53005126953125	0.6810719388587956	15.305228271484374	3.0793926958087043	0.012384679194074124
45	layer1.1	1	1	conv1_weight_bn1_gamma	layer1.1.conv1.weight,layer1.1.bn1.weight	36928	True	0.8066655731201172	0.27915185928344727	0.86	0.7246427917480469	0.6602142633533119	14.83633544921875	2.9497732963738077	0.27915176379261536
45	layer1.1	1	1	conv2_weight	layer1.1.conv2.weight	36864	True	0.7092210388183594	0.18170734405517577	0.86	0.6966998291015625	0.6826093917205059	15.33092041015625	3.051536626234396	0.1817072485643439
45	layer1.1	1	1	bn2_gamma	layer1.1.bn2.weight	64	True	0.5706930541992188	0.04317933082580566	0.94	0.5718864440917969	0.6727440044656167	15.119212646484375	3.0519816820387375	0.04317923533497378
45	layer1.1	1	1	conv2_weight_bn2_gamma	layer1.1.conv2.weight,layer1.1.bn2.weight	36928	True	0.75533935546875	0.22782562255859376	0.86	0.759945297241211	0.6867041958426428	15.4346923828125	3.095733707459348	0.22782552706776188
45	layer2.0	2	0	conv1_weight	layer2.0.conv1.weight	73728	True	1.5330587768554687	1.0055451202392578	0.65	1.3509629821777345	0.615336921017411	13.8326220703125	2.7077723778043086	1.0055450247484259
45	layer2.0	2	0	bn1_gamma	layer2.0.bn1.weight	128	True	0.6557350158691406	0.1282213020324707	0.89	0.6368699264526367	0.6535463862866356	14.688470458984375	2.9305913439099625	0.12822120654163882
45	layer2.0	2	0	conv1_weight_bn1_gamma	layer2.0.conv1.weight,layer2.0.bn1.weight	73856	True	1.7548565673828125	1.2273430633544922	0.56	1.4002371215820313	0.5993954155620289	13.455867919921875	2.567089639796398	1.2273429678636603
45	layer2.0	2	0	conv2_weight	layer2.0.conv2.weight	147456	True	1.8019703674316405	1.2744566345214843	0.52	1.3389340209960938	0.6069509327898369	13.64412353515625	2.628753863525454	1.2744565390306524
45	layer2.0	2	0	bn2_gamma	layer2.0.bn2.weight	128	True	0.5637924957275391	0.03627877712249756	0.97	0.6120465850830078	0.6638092922588971	14.92653076171875	3.0111217023312093	0.03627868163166568
45	layer2.0	2	0	conv2_weight_bn2_gamma	layer2.0.conv2.weight,layer2.0.bn2.weight	147584	True	5.525799560546875	4.9982861328125	0.2	0.9673056030273437	0.7814322053152828	17.23914794921875	3.1574510091211234	4.998286037321668
45	layer2.1	2	1	conv1_weight	layer2.1.conv1.weight	147456	True	0.6733090972900391	0.1457953643798828	0.88	0.696257095336914	0.6549667163575053	14.7361767578125	2.9423790597491	0.14579526888905092
45	layer2.1	2	1	bn1_gamma	layer2.1.bn1.weight	128	True	0.5402771759033204	0.01276346206665039	0.97	0.5571092987060546	0.6653487944300431	14.9631201171875	3.0130409265391664	0.012763366575818507
45	layer2.1	2	1	conv1_weight_bn1_gamma	layer2.1.conv1.weight,layer2.1.bn1.weight	147584	True	0.7926528930664063	0.26513912200927736	0.82	0.8303797912597656	0.6379515600679757	14.34929443359375	2.860514049082787	0.26513902651844545
45	layer2.1	2	1	conv2_weight	layer2.1.conv2.weight	147456	True	0.7038662719726563	0.17635255813598633	0.85	0.7842437744140625	0.654651314912153	14.72213134765625	2.9525979026951843	0.17635246264515445
45	layer2.1	2	1	bn2_gamma	layer2.1.bn2.weight	128	True	0.5646809387207031	0.037167201042175295	0.96	0.59212158203125	0.6657080083676215	14.9582568359375	3.019299121898988	0.037167105551343414
