rank_product_rank	candidate_index	unit_index	operator_type	module	state_name	parameter_count	output_shape	rank_capacity	image_count	cross_rank_mean	natural_rank_mean	rank_product	rank_gap_vv_vp_mean	rank_gap_pv_pp_mean	rank_interaction_mean	rank_gap_vv_pp_mean
1	10	25	bn_gamma	layer1.1.bn2	layer1.1.bn2.weight	64	64×8×8	64	500	13.86519598407039	17.733303036081185	245.8757220401761	-1.0766087474884642	-1.5230588327505625	0.4464500852620983	-4.672310221514383
2	9	24	conv_weight	layer1.1.conv2	layer1.1.conv2.weight	36864	64×8×8	64	500	15.273209521259608	12.628225198078399	192.8735293319015	-1.1432158833266168	-5.936693800647111	4.793477917320494	-4.488594171490323
3	8	19	bn_gamma	layer1.1.bn1	layer1.1.bn1.weight	64	64×8×8	64	500	9.866526270460122	14.542250264051203	143.48149426186686	0.29943996242252524	-0.5597128849559141	0.8591528473784393	-2.046055021276299
4	12	31	bn_gamma	layer2.0.bn1	layer2.0.bn1.weight	128	128×4×4	16	500	9.714839223276583	12.07412279576655	117.29816172297079	-0.047274061169966686	-0.2029041606501334	0.1556300994801667	-1.424652783365243
5	2	1	bn_gamma	bn1	bn1.weight	64	64×16×16	64	500	9.699304867218158	11.06851847764781	107.35693514314353	1.8494948805442526	0.0007958659704971893	1.8486990145737554	1.1046576499868959
6	6	13	bn_gamma	layer1.0.bn2	layer1.0.bn2.weight	64	64×8×8	64	500	9.030103085288449	10.883681214018736	98.28076331000652	-0.4152309622631041	-0.19279643596641627	-0.2224345262966878	-0.9187874688197581
7	17	48	conv_weight	layer2.1.conv1	layer2.1.conv1.weight	147456	128×4×4	16	500	10.963525791885276	8.848300024712168	97.00856553527099	2.3040916880002893	-0.39857566425332003	2.7026673522536093	1.304227100833252
8	11	30	conv_weight	layer2.0.conv1	layer2.0.conv1.weight	73728	128×4×4	16	500	10.871150829805813	8.906059240042698	96.81911329768991	-0.6574111887012961	-3.469947817469233	2.812536628767937	-2.540880823389191
9	14	37	bn_gamma	layer2.0.bn2	layer2.0.bn2.weight	128	128×4×4	16	500	7.087482041039329	11.065707093884901	78.42800029931074	0.09483951527642098	0.4078941867835013	-0.31305467150708033	1.1089941436634039
10	18	49	bn_gamma	layer2.1.bn1	layer2.1.bn1.weight	128	128×4×4	16	500	7.308789122960027	10.557792839646506	77.16468146887364	0.168230223812186	0.2561869837579902	-0.08795675994580421	0.572786671510018
11	13	36	conv_weight	layer2.0.conv2	layer2.0.conv2.weight	147456	128×4×4	16	500	10.000819241819329	6.9321775829335435	69.32745495911038	1.9032861221117745	0.3633539409132336	1.539932181198541	2.3506706744049053
12	20	55	bn_gamma	layer2.1.bn2	layer2.1.bn2.weight	128	128×4×4	16	500	7.424046046398505	8.861448288256796	65.78780012979766	-0.11875856552632413	-0.7849354309285852	0.6661768654022611	0.334199586300878
13	5	12	conv_weight	layer1.0.conv2	layer1.0.conv2.weight	36864	64×8×8	64	500	8.922534258263893	7.209873987087333	64.33034764755241	-0.7361956656250257	-1.0435556750485127	0.30736000942348696	-0.21124076143749004
14	16	43	bn_gamma	layer2.0.downsample.1	layer2.0.downsample.1.weight	128	128×4×4	16	500	7.7554878158233995	7.817327648792587	60.6271893325103	-0.19840558859138824	-0.005801405252247704	-0.19260418333914053	-1.1753066330723474
15	7	18	conv_weight	layer1.1.conv1	layer1.1.conv1.weight	36864	64×8×8	64	500	8.872956284217207	4.517202207961178	40.08093771820898	-0.9081235096676217	-1.2135624060497716	0.30543889638214994	-0.42003889163015806
16	4	7	bn_gamma	layer1.0.bn1	layer1.0.bn1.weight	64	64×8×8	64	500	6.348953678389993	5.9863880510166405	38.007300436772	0.7153277095403014	0.971069337357986	-0.2557416278176845	1.361346164612251
17	15	42	conv_weight	layer2.0.downsample.0	layer2.0.downsample.0.weight	8192	128×4×4	16	500	7.790394185809912	4.533283348785149	35.31606424300472	-0.08516519253284516	-0.5081344875697882	0.422969295036943	-0.3767247119083099
18	19	54	conv_weight	layer2.1.conv2	layer2.1.conv2.weight	147456	128×4×4	16	500	5.858047102415928	5.826577234804831	34.132363887351055	-1.067426517350838	-2.926600072626366	1.859173555275528	-1.5109498819908396
19	3	6	conv_weight	layer1.0.conv1	layer1.0.conv1.weight	36864	64×8×8	64	500	4.3122879945046915	4.818396885481727	20.77831504202165	-0.055097657464598715	-0.21342238889209808	0.15832473142749937	0.7408362279199832
20	26	73	bn_gamma	layer3.0.downsample.1	layer3.0.downsample.1.weight	256	256×2×2	4	500	3.2188022771870686	3.2713302611483894	10.529765294015403	-0.04039857298730354	0.07785150258346274	-0.11825007557076628	0.24689812968216085
21	24	67	bn_gamma	layer3.0.bn2	layer3.0.bn2.weight	256	256×2×2	4	500	3.0456006581433526	3.1504324044104317	9.594959004308555	-0.11294605327003815	-0.09661781166739569	-0.016328241602642457	0.29446330123299624
22	25	72	conv_weight	layer3.0.downsample.0	layer3.0.downsample.0.weight	32768	256×2×2	4	500	3.3931366695823235	2.813724137295442	9.547350548346051	0.03160929179910621	0.2243202018770356	-0.1927109100779294	0.5304396778470912
23	28	79	bn_gamma	layer3.1.bn1	layer3.1.bn1.weight	256	256×2×2	4	500	3.213536536515633	2.9636522327875965	9.523804731589076	-0.3970718121602981	-0.15032100241024526	-0.2467508097500528	0.21070985793727903
24	30	85	bn_gamma	layer3.1.bn2	layer3.1.bn2.weight	256	256×2×2	4	500	3.303894728946016	2.74450983864022	9.067571589423903	0.25442874557494566	-0.41553959709681454	0.6699683426717602	0.2911052383852768
25	21	60	conv_weight	layer3.0.conv1	layer3.0.conv1.weight	294912	256×2×2	4	500	2.956923923100128	2.9362912802752885	8.682389931836305	0.4533718009305563	-0.07113642574172774	0.524508226672284	0.0889689664198916
26	22	61	bn_gamma	layer3.0.bn1	layer3.0.bn1.weight	256	256×2×2	4	500	2.7634367537515643	3.0401414122420793	8.401238515191947	-0.022868185552646914	-0.06762802007937285	0.04475983452672594	0.23476117334070556
27	27	78	conv_weight	layer3.1.conv1	layer3.1.conv1.weight	589824	256×2×2	4	500	3.0261593078529208	2.398448641298841	7.258087680273678	0.5561499537791419	-0.1866250677149135	0.7427750214940554	0.2671906233945931
28	23	66	conv_weight	layer3.0.conv2	layer3.0.conv2.weight	589824	256×2×2	4	500	2.6007043802292653	2.7426514123182195	7.132825541457974	0.12342305316329982	-0.7328223396811242	0.856245392844424	-0.1045118341782274
29	29	84	conv_weight	layer3.1.conv2	layer3.1.conv2.weight	589824	256×2×2	4	500	2.4675310536428317	2.4374365373206732	6.014450347122416	-0.08848318332127425	0.6793542131045358	-0.7678373964258101	0.44923910183107374
30	32	91	bn_gamma	layer4.0.bn1	layer4.0.bn1.weight	512	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
31	34	97	bn_gamma	layer4.0.bn2	layer4.0.bn2.weight	512	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
32	31	90	conv_weight	layer4.0.conv1	layer4.0.conv1.weight	1179648	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
33	33	96	conv_weight	layer4.0.conv2	layer4.0.conv2.weight	2359296	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
34	35	102	conv_weight	layer4.0.downsample.0	layer4.0.downsample.0.weight	131072	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
35	36	103	bn_gamma	layer4.0.downsample.1	layer4.0.downsample.1.weight	512	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
36	38	109	bn_gamma	layer4.1.bn1	layer4.1.bn1.weight	512	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
37	40	115	bn_gamma	layer4.1.bn2	layer4.1.bn2.weight	512	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
38	37	108	conv_weight	layer4.1.conv1	layer4.1.conv1.weight	2359296	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
39	39	114	conv_weight	layer4.1.conv2	layer4.1.conv2.weight	2359296	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
40	1	0	conv_weight	conv1	conv1.weight	9408	64×16×16	64	500	0.0	8.836092509544937	0.0	0.6713414111811078	0.6713414111811078	0.0	0.6713414111811078
