index	module_name	state_name	role	stage	block	conv_in_block	paired_bn	in_channels	out_channels	kernel_height	kernel_width	stride_height	stride_width	groups	weight_param_count	filter_param_count	filter_count	sample_count	output_height	output_width	weight_residual_filter_sum	weight_residual_filter_mean	weight_residual_rms	input_residual_filter_sum	input_residual_filter_mean	input_residual_rms	total_residual_filter_sum	total_residual_filter_mean	total_residual_rms	interaction_residual_filter_sum	interaction_residual_filter_mean	interaction_residual_rms	weight_effect_public_input_filter_sum	weight_effect_public_input_filter_mean	weight_effect_victim_input_filter_sum	weight_effect_victim_input_filter_mean	input_effect_public_weight_filter_sum	input_effect_public_weight_filter_mean	input_effect_victim_weight_filter_sum	input_effect_victim_weight_filter_mean
0	conv1	conv1.weight	stem	0	-1	1	bn1	3	64	7	7	2	2	1	9408	147	64	400	16	16	83.7252473684101	1.3082069901314077	2.059232193158584	0.0	0.0	0.0	83.7252473684101	1.3082069901314077	2.059232193158584	9.70263912389394e-07	1.516037363108428e-08	5.0439713193818064e-08	83.7252473684101	1.3082069901314077	83.7252473684101	1.3082069901314077	0.0	0.0	0.0	0.0
1	layer1.0.conv1	layer1.0.conv1.weight	main_conv1	1	0	1	layer1.0.bn1	64	64	3	3	1	1	1	36864	576	64	400	8	8	61.21398389220235	0.9564684983156617	1.2615910488200475	33.14984596610069	0.5179663432203233	0.6771537350857784	69.95375531196595	1.093027426749468	1.4328420066473253	51.99386147141456	0.8124040854908525	1.0868182851127475	67.70619774818421	1.0579093398153783	65.28990522861483	1.0201547691971067	47.267787748575195	0.7385591835714874	32.87857907596975	0.5137277980620274
2	layer1.0.conv2	layer1.0.conv2.weight	main_conv2	1	0	2	layer1.0.bn2	64	64	3	3	1	1	1	36864	576	64	400	8	8	17.995665178894996	0.2811822684202343	0.3634396199025818	11.693172963261608	0.18270582755096262	0.24247960563695978	22.98775354325771	0.3591836491134017	0.47138696545907977	18.556966318488126	0.28995259872637696	0.386313839126723	22.52762768864632	0.35199418263509874	17.60996030986309	0.2751556298416108	15.933269698619842	0.24895733904093503	13.356009925417599	0.20868765508464998
3	layer1.1.conv1	layer1.1.conv1.weight	main_conv1	1	1	1	layer1.1.bn1	64	64	3	3	1	1	1	36864	576	64	400	8	8	71.14939311861991	1.1117092674784361	1.4447650890040447	30.20336187064647	0.4719275292288511	0.6237322565676204	79.4449344587326	1.241327100917697	1.6270764790353252	50.28656996726989	0.785727655738592	1.032614436280316	73.04809401154517	1.1413764689303934	77.8449544906616	1.2163274139165876	43.113239985704425	0.6736443747766316	32.56443770300597	0.5088193391094683
4	layer1.1.conv2	layer1.1.conv2.weight	main_conv2	1	1	2	layer1.1.bn2	64	64	3	3	1	1	1	36864	576	64	400	8	8	16.650666151046757	0.2601666586101056	0.3375099497398189	10.064817872345444	0.15726277925539756	0.20868022924165108	19.361179016232487	0.3025184221286326	0.3944505494711133	16.408272583484653	0.2563792591169477	0.333078938737297	21.12722121775151	0.33011283152736737	15.410274322032928	0.2407855362817645	13.6548398655653	0.21335687289945782	11.945726502435285	0.18665197660055133
5	layer2.0.conv1	layer2.0.conv1.weight	main_conv1	2	0	1	layer2.0.bn1	64	128	3	3	2	2	1	73728	576	128	400	4	4	126.32695693492889	0.9869293510541319	1.2772156713447023	71.23746026396752	0.5565426583122463	0.7203100234647729	149.6729859113693	1.1693202024325726	1.5034058283618903	115.42405272483825	0.9017504119127988	1.1671023694938985	149.0533990073203	1.16447967974469	127.16743887305265	0.9934956161957238	90.24992120027542	0.7050775093771517	86.45559647623449	0.675434347470582
6	layer2.0.conv2	layer2.0.conv2.weight	main_conv2	2	0	2	layer2.0.bn2	128	128	3	3	1	1	1	147456	1152	128	400	4	4	47.27695995509624	0.36935124964918936	0.4786366581668431	26.679698445200923	0.2084351441031322	0.26922622817408476	55.03605646967886	0.4299691911693661	0.555451870080126	44.118003318905835	0.34467190092895184	0.4424244802869337	57.911865146756156	0.45243644645903247	45.59759134590623	0.35623118238989243	34.216617571711524	0.2673173247789963	34.48162290511655	0.26938767894622306
7	layer2.0.downsample.0	layer2.0.downsample.0.weight	downsample	2	0	0	layer2.0.downsample.1	64	128	1	1	2	2	1	8192	64	128	400	4	4	61.40537590742109	0.47972949927672726	0.6260264305706088	35.41263277828691	0.2766611935803665	0.3765572309701182	66.81960945487022	0.5220281988661736	0.6805713296545357	52.194371716976136	0.40776852903887606	0.543888593366979	71.27689892232416	0.5568507728306575	61.6095040476322	0.48132425037212656	36.829339676797396	0.28772921622497966	49.12716198230161	0.3838059529867313
8	layer2.1.conv1	layer2.1.conv1.weight	main_conv1	2	1	1	layer2.1.bn1	128	128	3	3	1	1	1	147456	1152	128	400	4	4	73.70348459362987	0.5758084733877333	0.7338958831285977	38.076662035584455	0.29747392215300356	0.3817845730246631	87.93243745923041	0.6869721676502376	0.8755899917871169	62.85351481914519	0.4910430845245718	0.6273155297651771	79.33380466341973	0.6197953489329666	80.513659170866	0.6290129622723907	51.10662747025492	0.39927052711136657	45.3023083529435	0.3539242840073711
9	layer2.1.conv2	layer2.1.conv2.weight	main_conv2	2	1	2	layer2.1.bn2	128	128	3	3	1	1	1	147456	1152	128	400	4	4	28.276611284911628	0.2209110256633721	0.28563228763063037	17.854496965408327	0.13948825754225255	0.1823987651640013	33.29638758599757	0.260128028015606	0.3349426253595259	35.79089079260823	0.2796163343172518	0.35833633612420684	43.206534785032254	0.3375510530080645	18.923150630295275	0.14783711429918184	25.816439531445504	0.201690933839418	24.138816188313065	0.18858450147119582
10	layer3.0.conv1	layer3.0.conv1.weight	main_conv1	3	0	1	layer3.0.bn1	128	256	3	3	2	2	1	294912	1152	256	400	2	2	163.10814255476004	0.6371411818545314	0.8183169792518169	105.77161538898943	0.41317037261323997	0.5322461702591211	196.38085017442683	0.7671126959938548	0.9870113489793925	174.37865134596834	0.6811666068201888	0.8760562511824354	207.9342990219593	0.8122433555545285	157.8893694365024	0.6167553493613375	127.92001828670503	0.4996875714324415	143.26105237754058	0.5596134858497679
11	layer3.0.conv2	layer3.0.conv2.weight	main_conv2	3	0	2	layer3.0.bn2	256	256	3	3	1	1	1	589824	2304	256	400	2	2	114.31756196081632	0.44655297640943875	0.5655345793916037	71.29545526444913	0.2784978721267544	0.3593591921405583	120.31659002184861	0.46998667977284614	0.6035612495681597	121.89510525643826	0.47615275490796194	0.60824062700208	160.72037489295008	0.6278139644255862	87.67965682804582	0.342498659484554	84.00672052800665	0.328151252062526	99.51036359695716	0.3887123578006139
12	layer3.0.downsample.0	layer3.0.downsample.0.weight	downsample	3	0	0	layer3.0.downsample.1	128	256	1	1	2	2	1	32768	128	256	400	2	2	61.17927017778157	0.23898152413195925	0.3105775883748409	36.24478666782381	0.14158119792118676	0.1866048133364595	70.24849271625276	0.2744081746728623	0.3550611810707659	58.70439776569604	0.22931405377225014	0.2968824636135238	77.35460018485784	0.30216640697210095	56.1300969314575	0.21925819113850586	40.74123635500669	0.1591454545117449	49.873129288698514	0.19481691128397857
13	layer3.1.conv1	layer3.1.conv1.weight	main_conv1	3	1	1	layer3.1.bn1	256	256	3	3	1	1	1	589824	2304	256	400	2	2	92.91375188410282	0.36294434329727665	0.44929643035923506	42.23517687767746	0.16498115967842758	0.21161811471185307	119.3765146833658	0.46631451048189765	0.5834663600902398	83.53903640627863	0.3263243609620259	0.4176795622480228	121.04774953246114	0.4728427716111763	76.69953365653748	0.29960755334584954	83.16193229317655	0.3248512980202209	6.125542111061517	0.02392789887133405
14	layer3.1.conv2	layer3.1.conv2.weight	main_conv2	3	1	2	layer3.1.bn2	256	256	3	3	1	1	1	589824	2304	256	400	2	2	18.282133807986977	0.07141458518744913	0.09212568705464333	17.721459235996015	0.06922445014060943	0.0894004175491016	35.586971519291396	0.13901160749723201	0.1794289478816781	34.487002672851084	0.13471485419082455	0.17373984311410576	35.3208263929188	0.13797197809733908	3.751227174978705	0.014653231152260566	34.79524403169749	0.13591892199881833	2.515009924229235	0.009824257516520449
15	layer4.0.conv1	layer4.0.conv1.weight	main_conv1	4	0	1	layer4.0.bn1	256	512	3	3	2	2	1	1179648	2304	512	400	1	1	225.1742833080885	0.43979352208611033	0.5577618334353706	145.1391047617793	0.2834748139878502	0.36290381087296864	271.5552918988467	0.5303814294899349	0.6764232896830824	261.82134345650684	0.5113698114384899	0.6524013151150505	300.47270832002175	0.5868607584375425	211.5777092629671	0.4132377134042326	179.61343458056456	0.35080748941516515	196.28162371294576	0.3833625463143472
16	layer4.0.conv2	layer4.0.conv2.weight	main_conv2	4	0	2	layer4.0.bn2	512	512	3	3	1	1	1	2359296	4608	512	400	1	1	64.69662764489651	0.1263606008689385	0.16025562361074921	53.29598202168941	0.10409371488611213	0.13239453050640243	85.10844922885293	0.16622743990010339	0.21349134054417737	99.47234309911723	0.19428192011546333	0.24739029666429568	103.84011119097474	0.20281271716987254	49.62155030608176	0.09691709044156593	69.23610447585583	0.1352267665544059	74.60522516340016	0.14571333039726594
17	layer4.0.downsample.0	layer4.0.downsample.0.weight	downsample	4	0	0	layer4.0.downsample.1	256	512	1	1	2	2	1	131072	256	512	400	1	1	128.2921601225437	0.25057062523934315	0.31952965466321803	90.22762376055127	0.1762258276573267	0.22555794364958492	155.1126380336284	0.30295437115943047	0.39141953726723816	152.23405834734456	0.29733214520965734	0.3790812983744531	179.70065845817322	0.3509778485511196	109.6476966676117	0.2141556575539291	112.19976518213743	0.21914016637136216	121.47662483483543	0.23725903288053796
18	layer4.1.conv1	layer4.1.conv1.weight	main_conv1	4	1	1	layer4.1.bn1	512	512	3	3	1	1	1	2359296	4608	512	400	1	1	191.42914933860322	0.3738850573019594	0.4710872673882409	146.18334471672762	0.28551434514985863	0.36177985268967167	251.7975361502171	0.49179206279339277	0.6260806091538126	246.05750640392273	0.4805810671951616	0.6117105311324933	195.84734371423707	0.3825143431918693	254.0458901190756	0.49618337913881955	189.90339182794088	0.37090506216394703	189.49115156959763	0.3700999054093704
19	layer4.1.conv2	layer4.1.conv2.weight	main_conv2	4	1	2	layer4.1.bn2	512	512	3	3	1	1	1	2359296	4608	512	400	1	1	41.76358233205977	0.08156949674230424	0.10176149659094663	49.9860987677426	0.09762909915574726	0.11558691902364744	28.722460290417036	0.056098555254720774	0.07040007205401363	67.08571378290661	0.13102678473223947	0.1647086964300961	73.32087537594137	0.1432048347186355	18.82421479590237	0.03676604452324682	28.806106724739085	0.056261927196756024	79.5041826491057	0.15528160673653457
